StudentID,Gender,Age,StudyHours,GPA,Attendance,Participation,AssignmentsCompleted,ProjectsCompleted,Extracurriculars
35,Female,20,14.79,1.56,56.32,7.62,2.0,4.0,Arts
36,Male,20,6.22,,70.72,0.39,9.0,4.0,None
37,Female,24,11.31,0.86,50.74,9.36,12.0,4.0,Clubs
38,Male,21,13.07,0.88,,0.95,8.0,3.0,None
39,Male,22,10.18,2.92,75.67,6.74,5.0,2.0,Clubs
40,Male,22,6.18,2.0,56.96,1.33,,0.0,Clubs
41,Male,23,,1.66,61.85,8.8,15.0,4.0,Sports
42,Male,20,3.06,0.68,,5.11,4.0,0.0,Arts
43,Female,19,4.91,0.75,59.44,0.82,12.0,0.0,Clubs
44,Female,23,8.2,0.04,63.43,6.17,18.0,3.0,Sports
45,Female,22,,0.37,76.72,0.09,1.0,4.0,Arts
46,Female,21,0.33,2.23,91.63,7.76,,1.0,Arts
47,Female,22,14.18,3.57,70.09,6.51,0.0,0.0,Clubs
48,Male,21,10.45,1.15,85.85,2.13,14.0,4.0,Arts
49,Female,23,7.44,1.31,93.83,3.75,14.0,,None
50,Female,20,14.0,0.46,60.82,0.08,13.0,3.0,Arts
51,Male,22,6.59,1.55,90.36,6.94,6.0,3.0,None
52,Female,24,14.71,0.15,87.87,3.23,4.0,1.0,Arts
53,Male,21,7.68,3.67,67.85,5.72,19.0,3.0,Clubs
54,Female,20,1.71,2.69,99.48,9.57,15.0,,Clubs
55,Male,19,11.47,3.96,63.13,2.99,16.0,3.0,Sports
56,Female,21,10.18,3.53,62.74,9.9,10.0,1.0,None
57,Female,23,11.59,1.89,88.61,6.33,14.0,2.0,None
58,Male,19,,2.08,71.73,2.42,19.0,0.0,Clubs
59,Male,19,11.65,0.76,66.54,4.37,15.0,0.0,Clubs
60,Male,18,,1.85,,7.4,2.0,4.0,Clubs
61,Male,22,12.86,3.61,88.27,4.46,5.0,1.0,None
62,Male,21,10.1,0.2,89.32,0.69,12.0,1.0,Sports
63,Male,19,6.12,3.45,78.33,1.69,0.0,1.0,None
64,Male,18,13.28,1.36,97.87,7.91,13.0,0.0,Clubs
65,Male,23,3.33,3.6,65.91,6.48,1.0,3.0,Sports
66,Female,20,10.72,3.76,60.98,5.7,1.0,0.0,Arts
67,Female,24,13.22,2.68,83.87,1.68,14.0,0.0,Arts
68,Male,24,10.97,2.66,87.92,8.38,17.0,0.0,Clubs
69,Female,21,10.46,,61.25,9.61,8.0,3.0,Sports
70,Female,19,11.29,3.34,53.83,0.41,2.0,2.0,Clubs
71,Female,24,,3.85,90.53,0.78,3.0,4.0,None
72,Female,22,13.11,,98.83,8.85,14.0,2.0,None
73,Male,24,3.05,2.49,82.23,8.16,4.0,,Sports
74,Female,24,1.91,2.43,63.89,6.18,19.0,0.0,Clubs
75,Male,24,4.28,3.4,99.83,9.45,19.0,2.0,Clubs
76,Female,18,7.97,2.16,94.66,6.46,,0.0,Arts
77,Female,19,7.66,3.22,75.67,2.16,9.0,0.0,Sports
78,Female,22,12.31,2.04,91.27,7.29,15.0,4.0,Clubs
79,Male,19,6.07,0.25,90.79,6.46,11.0,1.0,None
80,Female,21,7.27,1.54,96.74,9.86,13.0,0.0,Clubs
81,Male,21,0.2,1.78,92.05,2.14,10.0,2.0,Clubs
82,Female,21,6.15,0.57,82.18,5.98,18.0,4.0,None
83,Male,23,9.72,0.41,80.47,7.8,5.0,2.0,None
84,Female,24,0.23,,73.37,3.39,9.0,1.0,Clubs
85,Male,23,4.21,0.34,81.32,3.8,19.0,3.0,None
86,Male,18,3.12,1.21,89.76,8.88,2.0,1.0,Arts
87,Female,21,0.63,2.98,98.45,4.04,,4.0,Arts
88,Male,22,7.19,3.86,73.36,6.25,10.0,1.0,Arts
89,Female,19,2.73,2.87,78.68,8.89,,,None
90,Female,24,11.15,3.97,72.24,2.1,5.0,4.0,None
91,Female,20,12.72,2.79,83.42,9.82,,4.0,None
92,Female,22,8.18,1.18,,7.02,17.0,2.0,Sports
93,Female,24,14.73,2.69,50.89,4.96,3.0,0.0,None
94,Female,23,6.76,2.81,77.06,4.31,8.0,3.0,Arts
95,Female,23,7.7,1.49,54.42,9.54,9.0,3.0,Arts
96,Female,22,14.84,0.07,51.32,2.06,1.0,3.0,Arts
97,Female,23,3.47,,,3.12,10.0,1.0,Sports
98,Female,21,14.14,0.09,62.93,3.08,10.0,4.0,Clubs
99,Female,18,0.64,2.52,67.03,2.89,10.0,4.0,Arts
100,Male,19,6.7,0.65,,4.69,0.0,4.0,Sports
101,Male,18,1.05,2.26,58.98,9.89,13.0,0.0,Clubs
102,Female,24,10.94,2.02,88.28,8.89,0.0,4.0,Sports
103,Female,19,9.13,0.05,74.68,3.28,8.0,4.0,Sports
104,Female,19,10.6,1.45,94.03,4.23,0.0,1.0,Clubs
105,Female,18,5.62,2.4,69.86,6.69,3.0,2.0,None
106,Female,22,5.54,3.39,63.44,0.17,0.0,3.0,None
107,Female,19,0.68,3.55,67.38,8.2,18.0,1.0,Arts
108,Female,18,5.25,,85.64,8.8,9.0,1.0,Clubs
109,Female,19,13.94,2.91,77.75,8.57,14.0,1.0,Arts
110,Male,20,5.69,1.27,95.21,3.75,19.0,3.0,Sports
111,Female,22,12.47,1.37,80.11,4.62,3.0,1.0,None
112,Male,21,,0.78,74.65,0.12,19.0,2.0,Arts
113,Female,19,5.6,2.25,,3.99,13.0,4.0,Arts
114,Female,20,9.48,1.26,97.38,,4.0,2.0,None
115,Male,21,1.43,0.34,67.79,9.07,14.0,4.0,Sports
116,Female,21,1.56,2.74,62.49,,14.0,4.0,Arts
117,Male,24,0.73,2.83,80.81,9.66,,1.0,Arts
118,Female,19,8.72,1.44,74.94,8.85,15.0,1.0,Clubs
119,Female,18,6.39,0.31,99.46,0.08,3.0,3.0,Clubs
120,Male,19,8.22,1.71,73.12,6.41,8.0,0.0,None
121,Female,20,,1.77,53.72,0.68,0.0,2.0,None
122,Male,21,5.25,2.67,98.87,2.73,4.0,3.0,Sports
123,Female,19,10.16,1.26,92.18,5.78,8.0,3.0,Sports
124,Male,18,11.38,2.73,,7.01,19.0,2.0,Arts
125,Male,24,0.22,3.49,95.23,6.55,4.0,2.0,Clubs
126,Female,19,3.11,0.95,67.03,0.49,3.0,,Sports
127,Female,22,10.7,3.92,,1.04,15.0,0.0,Arts
128,Male,24,5.8,1.55,95.32,,1.0,1.0,Arts
129,Female,18,9.94,1.07,76.51,0.91,15.0,0.0,None
130,Female,20,5.2,1.69,56.89,1.78,17.0,0.0,Clubs
131,Female,21,5.86,0.38,68.45,6.88,1.0,1.0,Arts
132,Male,19,2.38,0.5,86.1,8.31,15.0,0.0,None
133,Male,18,3.87,,58.71,4.09,0.0,3.0,Arts
134,Male,24,9.08,3.05,79.51,6.93,15.0,3.0,Clubs
135,Male,22,6.5,3.6,84.76,2.0,2.0,1.0,Arts
136,Male,18,11.61,2.66,67.19,9.73,14.0,1.0,Arts
137,Male,23,12.79,0.42,84.69,3.5,10.0,2.0,Sports
138,Male,22,8.12,2.69,94.21,,9.0,2.0,Sports
139,Male,24,11.37,2.54,73.61,9.45,16.0,0.0,None
140,Male,20,4.6,3.22,69.15,8.65,3.0,0.0,Arts
141,Female,21,6.22,3.3,62.56,0.67,16.0,1.0,None
142,Male,24,10.69,3.47,80.21,6.5,3.0,0.0,Clubs
143,Female,20,5.79,,93.99,1.2,18.0,4.0,None
144,Female,19,8.83,2.79,66.23,0.06,0.0,3.0,Arts
145,Female,18,2.78,,69.81,0.52,13.0,0.0,Sports
146,Male,23,9.0,4.0,70.33,9.16,10.0,0.0,Sports
147,Male,22,12.92,0.7,78.04,9.08,6.0,2.0,None
148,Male,22,13.03,0.04,61.42,2.26,16.0,4.0,Sports
149,Male,18,10.87,0.6,91.11,5.47,3.0,0.0,Arts
150,Female,23,11.19,3.1,64.78,9.55,9.0,3.0,Arts
151,Male,18,8.37,1.79,85.27,,16.0,0.0,Clubs
152,Male,19,8.77,1.79,75.66,3.94,3.0,1.0,Sports
153,Male,20,2.0,3.82,79.29,4.83,18.0,4.0,Sports
154,Male,24,6.66,,58.98,7.9,17.0,0.0,Clubs
155,Male,22,6.76,1.24,86.75,4.77,16.0,4.0,None
156,Female,19,14.38,0.84,59.43,7.83,5.0,0.0,Clubs
157,Male,20,6.47,3.39,55.67,4.32,6.0,3.0,Sports
158,Female,19,8.24,3.62,77.33,2.52,5.0,3.0,None
159,Male,23,8.0,2.17,85.46,3.26,11.0,4.0,Arts
160,Female,22,9.55,2.52,52.5,0.78,8.0,2.0,Arts
161,Male,24,11.22,1.03,53.47,4.97,17.0,2.0,Clubs
162,Male,18,3.38,,90.13,1.48,1.0,1.0,Arts
163,Female,18,7.93,2.53,90.45,8.12,16.0,,Sports
164,Female,20,12.39,2.01,62.27,4.21,0.0,4.0,Clubs
165,Female,24,6.95,0.24,80.76,7.65,8.0,2.0,Sports
166,Male,21,4.18,3.66,72.16,9.54,,1.0,Sports
167,Female,23,9.82,2.46,,8.49,1.0,0.0,None
168,Male,20,12.36,0.77,93.14,9.51,5.0,2.0,None
169,Male,21,0.95,2.43,53.99,5.68,8.0,4.0,None
170,Female,19,11.65,2.71,88.9,1.65,2.0,4.0,Arts
171,Female,23,12.32,2.1,74.65,9.35,15.0,1.0,None
172,Male,19,6.92,2.87,78.21,8.69,14.0,1.0,Sports
173,Male,24,14.75,2.33,82.7,8.64,11.0,,Clubs
174,Female,22,11.8,3.79,96.13,6.93,7.0,3.0,Clubs
175,Female,23,11.6,0.21,52.84,6.25,5.0,3.0,Sports
176,Female,21,11.22,0.42,51.47,0.15,2.0,0.0,Arts
177,Male,22,2.26,0.69,58.91,7.48,3.0,4.0,Clubs
178,Male,18,3.26,2.76,99.32,0.92,9.0,3.0,Sports
179,Male,21,6.96,2.58,85.75,2.6,13.0,4.0,Sports
180,Male,20,3.96,3.57,80.73,5.51,14.0,1.0,Sports
181,Male,18,6.23,2.93,52.35,4.52,6.0,0.0,Clubs
182,Male,18,13.33,2.03,93.96,0.16,6.0,1.0,Clubs
183,Female,20,12.36,3.97,90.64,8.24,7.0,,None
184,Male,23,9.45,1.06,,8.79,9.0,3.0,None
185,Male,18,12.87,3.33,66.96,6.82,18.0,1.0,Sports
186,Male,24,11.76,,53.53,5.41,18.0,2.0,Sports
187,Female,21,6.43,2.59,79.0,9.61,1.0,0.0,Sports
188,Male,22,3.02,2.91,85.98,1.2,14.0,4.0,Sports
189,Male,18,7.71,2.54,54.71,7.38,0.0,3.0,Clubs
190,Female,21,11.04,,81.69,1.28,9.0,1.0,None
191,Male,19,6.55,1.77,64.32,,5.0,0.0,Arts
192,Male,21,10.0,2.25,88.21,,12.0,3.0,Sports
193,Male,22,1.41,3.4,76.98,7.37,9.0,1.0,None
194,Male,21,11.22,1.77,56.45,0.04,11.0,4.0,Sports
195,Male,20,,3.67,76.33,2.61,5.0,2.0,Clubs
196,Female,22,10.6,1.76,69.79,5.38,5.0,2.0,Arts
197,Female,23,14.51,2.2,59.02,5.33,0.0,4.0,None
198,Female,19,12.4,3.19,92.08,,11.0,0.0,None
199,Male,20,13.55,,50.55,3.04,9.0,4.0,Arts
200,Male,23,14.0,3.84,65.61,5.41,,1.0,Clubs
201,Male,21,12.02,2.64,,1.9,14.0,0.0,Arts
202,Female,22,10.11,2.09,54.8,1.87,3.0,2.0,None
203,Male,19,0.09,0.09,64.85,5.77,0.0,1.0,Arts
204,Male,20,6.99,1.65,,6.85,7.0,3.0,Clubs
205,Female,23,8.57,1.2,79.83,1.2,,3.0,Clubs
206,Male,23,4.56,2.99,54.34,1.23,13.0,3.0,Sports
207,Female,19,4.77,0.83,85.09,5.65,16.0,2.0,Arts
208,Female,24,14.42,0.82,52.63,2.7,1.0,4.0,Arts
209,Female,21,13.38,0.76,52.97,3.92,14.0,,None
210,Male,19,12.74,0.5,65.27,4.01,5.0,,Clubs
211,Male,23,6.09,1.24,94.83,1.79,4.0,1.0,Arts
212,Male,18,0.21,3.54,82.07,0.01,13.0,1.0,None
213,Male,20,1.2,3.1,88.51,8.53,18.0,,Sports
214,Male,19,4.68,2.94,57.08,7.15,8.0,,Arts
215,Male,24,0.24,3.19,91.71,6.91,7.0,3.0,Arts
216,Male,23,0.26,1.08,50.41,5.47,2.0,,None
217,Female,21,13.75,3.55,,,17.0,1.0,None
218,Male,23,10.59,0.55,,9.36,7.0,4.0,Clubs
219,Female,21,4.63,1.35,68.76,6.66,15.0,4.0,Clubs
220,Male,19,1.99,2.35,99.21,2.65,14.0,4.0,Clubs
221,Male,21,7.67,0.41,51.52,5.71,14.0,3.0,Arts
222,Male,22,0.08,2.92,,4.42,15.0,0.0,None
223,Female,22,14.08,1.55,81.18,5.56,0.0,4.0,Clubs
224,Female,22,6.22,3.14,77.94,5.18,9.0,2.0,Arts
225,Female,24,6.04,1.97,52.98,8.59,18.0,4.0,Clubs
226,Female,24,5.86,0.72,63.67,6.52,,3.0,Sports
227,Male,18,1.04,2.94,96.23,1.89,17.0,0.0,Arts
228,Female,24,9.57,1.01,67.71,0.63,2.0,4.0,Clubs
229,Male,19,11.0,1.96,83.08,4.24,3.0,,Clubs
230,Male,23,10.14,0.3,99.97,0.16,3.0,2.0,Sports
231,Female,23,2.08,2.47,63.15,3.18,10.0,1.0,Sports
232,Female,18,8.68,2.66,78.8,3.68,8.0,0.0,Clubs
233,Female,24,8.54,1.51,84.82,3.76,0.0,4.0,Clubs
234,Female,21,13.03,3.82,58.23,9.79,15.0,3.0,None
235,Female,18,5.69,3.5,57.43,3.04,8.0,3.0,Clubs
236,Female,21,5.57,2.83,72.82,2.65,10.0,3.0,Clubs
237,Female,21,9.28,2.85,69.29,1.29,5.0,,None
238,Female,20,9.5,1.01,85.71,5.11,16.0,0.0,None
239,Male,23,7.04,2.63,53.48,1.54,11.0,3.0,Clubs
240,Female,22,6.65,0.79,98.61,6.16,7.0,1.0,None
241,Female,24,7.41,0.58,50.71,1.55,15.0,2.0,Arts
242,Male,21,12.92,4.0,80.07,5.77,4.0,0.0,Sports
243,Female,20,6.92,2.49,78.13,8.26,0.0,0.0,Arts
244,Male,23,14.1,1.72,56.74,0.43,16.0,3.0,Sports
245,Male,22,7.56,1.15,57.55,4.2,7.0,3.0,Sports
246,Female,21,14.24,2.42,89.63,4.61,9.0,0.0,Clubs
247,Male,21,12.49,0.2,94.38,7.91,17.0,3.0,Sports
248,Male,18,5.44,0.38,64.15,4.68,14.0,3.0,Arts
249,Male,18,12.95,0.13,71.9,5.68,19.0,3.0,Clubs
250,Male,23,1.65,2.0,67.75,7.91,12.0,3.0,None
251,Female,22,13.88,2.4,53.63,5.6,9.0,3.0,Arts
252,Male,21,9.47,0.25,83.66,3.58,8.0,4.0,Clubs
253,Female,23,0.82,2.88,91.26,0.86,12.0,4.0,Sports
254,Male,23,9.66,0.92,65.24,7.3,2.0,4.0,Arts
255,Male,19,14.61,2.74,99.51,8.71,,0.0,Sports
256,Male,24,1.05,3.93,53.79,9.7,0.0,2.0,Clubs
257,Male,18,8.32,2.76,83.09,9.27,1.0,0.0,Clubs
258,Female,22,11.22,3.53,72.41,7.97,10.0,4.0,None
259,Female,21,12.15,3.79,72.33,6.43,13.0,0.0,None
260,Male,23,6.21,1.95,72.88,7.81,9.0,2.0,Arts
261,Male,21,3.06,2.81,62.93,4.32,6.0,3.0,None
262,Female,19,0.64,3.41,85.78,5.95,0.0,1.0,Sports
263,Male,22,8.7,1.43,86.08,3.49,6.0,4.0,Sports
264,Male,23,6.79,1.05,64.12,3.27,14.0,4.0,None
265,Male,21,14.23,3.79,91.77,7.57,10.0,2.0,None
266,Female,18,0.91,2.91,65.84,4.54,5.0,3.0,None
267,Female,24,10.28,0.88,86.25,2.12,6.0,3.0,Arts
268,Female,19,0.37,1.8,56.05,2.02,6.0,1.0,Arts
269,Male,22,2.57,3.19,58.44,8.59,0.0,3.0,Sports
270,Male,19,6.8,2.19,65.79,6.78,9.0,2.0,Arts
271,Female,18,6.82,2.6,79.69,,14.0,3.0,Arts
272,Female,22,10.29,3.02,82.28,4.01,7.0,2.0,Clubs
273,Female,19,13.65,2.49,69.82,4.31,18.0,4.0,Sports
274,Female,20,9.59,2.16,53.89,0.57,2.0,4.0,Sports
275,Male,18,14.3,3.0,68.68,4.55,14.0,4.0,None
276,Female,18,13.22,2.91,84.44,7.95,3.0,0.0,Clubs
277,Male,18,8.77,2.52,83.55,3.88,5.0,4.0,None
278,Female,20,12.51,1.44,58.01,3.84,9.0,2.0,Arts
279,Male,20,9.64,1.62,50.39,0.16,17.0,1.0,Sports
280,Female,21,1.18,3.88,87.65,4.58,15.0,3.0,Arts
281,Female,23,11.11,0.45,55.32,0.25,17.0,4.0,Arts
282,Female,24,1.42,,54.12,5.7,5.0,0.0,Clubs
283,Female,19,8.91,1.97,50.14,5.07,18.0,0.0,Clubs
284,Male,21,10.54,3.35,71.63,8.4,16.0,2.0,Sports
285,Female,19,1.0,0.65,75.16,5.82,17.0,1.0,Sports
286,Male,24,,1.11,81.88,,12.0,4.0,Clubs
287,Male,23,13.74,0.26,64.8,5.16,6.0,4.0,Clubs
288,Male,20,9.24,2.82,85.52,7.0,19.0,0.0,Clubs
289,Male,23,3.69,,,0.94,11.0,2.0,Clubs
290,Female,20,10.36,1.55,91.6,6.21,1.0,0.0,Sports
291,Male,24,8.95,1.77,78.59,,11.0,0.0,Sports
292,Male,23,7.52,3.57,79.19,2.99,11.0,1.0,Arts
293,Male,21,14.64,1.65,60.49,6.27,3.0,2.0,Arts
294,Female,22,10.25,,53.71,8.21,3.0,,Arts
295,Female,21,5.63,2.1,73.24,5.12,17.0,2.0,Sports
296,Female,19,,3.85,80.78,7.18,15.0,4.0,None
297,Female,21,13.27,2.43,54.75,3.11,,,Arts
298,Male,24,1.88,3.93,97.53,3.06,16.0,3.0,None
299,Male,18,3.01,3.36,99.02,6.68,16.0,2.0,None
300,Female,19,3.24,0.14,77.27,7.05,2.0,3.0,None
301,Male,23,10.37,2.63,97.5,9.37,5.0,0.0,Clubs
302,Male,19,,1.15,58.97,2.25,12.0,4.0,Sports
303,Male,22,9.28,2.24,51.27,4.68,8.0,,Sports
304,Female,20,14.11,1.12,51.97,2.51,8.0,3.0,Arts
305,Female,23,11.64,1.4,79.38,0.8,7.0,2.0,Arts
306,Male,19,1.92,3.69,53.08,4.03,16.0,0.0,Sports
307,Female,23,5.21,0.83,97.93,3.74,,2.0,Clubs
308,Female,23,6.53,3.5,57.1,2.7,15.0,3.0,Sports
309,Female,23,5.94,0.12,65.24,2.97,,4.0,None
310,Female,20,10.04,0.36,91.13,3.6,15.0,4.0,Sports
311,Female,24,13.38,3.42,60.94,9.89,13.0,2.0,Clubs
312,Male,21,4.59,2.52,62.15,7.83,19.0,1.0,Sports
313,Female,23,8.28,2.99,82.12,,13.0,2.0,Sports
314,Male,18,11.84,0.84,63.8,8.72,13.0,1.0,Sports
315,Male,24,6.24,2.15,60.87,6.33,13.0,2.0,None
316,Female,22,2.52,2.95,62.71,8.91,11.0,,Arts
317,Male,20,,2.51,74.53,3.42,5.0,1.0,Clubs
318,Male,19,0.83,,98.3,,19.0,1.0,None
319,Male,20,14.14,3.84,91.61,8.96,12.0,1.0,Sports
320,Female,19,1.12,2.7,64.23,2.73,15.0,0.0,Sports
321,Female,20,6.58,3.63,68.17,9.16,8.0,1.0,Arts
322,Male,19,7.95,2.92,73.23,8.28,1.0,1.0,Arts
323,Female,23,14.78,2.94,98.95,9.81,2.0,4.0,Arts
324,Female,21,2.49,0.32,58.62,3.24,9.0,0.0,None
325,Female,19,1.72,1.44,67.87,2.36,19.0,1.0,Clubs
326,Female,19,0.13,3.43,86.47,3.31,1.0,3.0,Arts
327,Male,18,2.33,0.93,98.2,9.55,9.0,0.0,Sports
328,Male,19,3.11,0.46,57.78,3.33,7.0,,Clubs
329,Female,18,9.46,1.3,61.37,5.65,16.0,2.0,Sports
330,Female,22,3.3,0.88,61.28,4.04,0.0,4.0,Sports
331,Male,23,0.31,3.7,51.05,3.96,5.0,4.0,Clubs
332,Male,18,12.4,3.47,80.21,1.93,6.0,0.0,None
333,Female,21,5.48,2.0,83.54,5.37,14.0,0.0,Clubs
334,Male,24,5.31,0.25,80.13,8.49,17.0,3.0,Arts
335,Female,23,4.54,2.86,53.57,0.49,8.0,3.0,Clubs
336,Female,18,14.63,2.49,53.46,8.89,7.0,0.0,Arts
337,Male,23,2.55,3.88,60.52,6.65,9.0,0.0,Arts
338,Male,23,13.47,2.24,64.51,,3.0,0.0,Clubs
339,Female,23,11.65,1.35,89.33,6.26,19.0,2.0,Clubs
340,Female,22,1.15,2.08,57.97,2.96,7.0,4.0,Arts
341,Male,21,14.8,3.92,52.2,4.15,0.0,3.0,Sports
342,Female,20,4.07,2.79,69.7,7.99,7.0,3.0,Clubs
343,Male,20,1.48,2.69,70.82,3.06,,1.0,None
344,Female,18,12.44,,72.55,4.7,,2.0,Arts
345,Male,23,10.6,2.97,91.35,0.2,12.0,0.0,Sports
346,Male,18,9.26,3.0,54.9,,15.0,0.0,Clubs
347,Male,22,2.34,1.27,,4.18,17.0,2.0,Clubs
348,Female,22,7.18,1.93,66.9,5.25,0.0,3.0,Sports
349,Female,19,11.71,1.18,65.5,1.15,16.0,0.0,None
350,Male,22,4.55,1.03,96.63,9.92,15.0,1.0,Arts
351,Female,19,4.68,0.1,62.42,3.02,4.0,3.0,Clubs
352,Male,21,0.05,1.14,,6.35,19.0,4.0,None
353,Male,18,2.61,2.22,63.76,5.81,9.0,2.0,Arts
354,Female,24,13.13,0.01,75.36,7.85,5.0,3.0,None
355,Female,21,6.63,1.13,89.31,2.94,11.0,4.0,Arts
356,Male,22,14.76,3.53,94.09,7.56,9.0,1.0,Arts
357,Female,21,5.94,2.37,91.93,3.83,16.0,2.0,None
358,Female,21,10.73,2.43,79.11,4.11,1.0,0.0,Arts
359,Male,21,4.23,1.61,62.44,6.73,18.0,0.0,Clubs
360,Male,22,5.46,2.71,,7.84,19.0,4.0,Clubs
361,Female,24,2.86,0.76,85.5,,5.0,3.0,None
362,Male,23,5.21,3.27,50.53,9.0,12.0,1.0,None
363,Male,21,8.21,0.47,71.96,2.85,,4.0,Arts
364,Female,19,14.88,2.62,92.16,9.01,11.0,1.0,Arts
365,Male,22,9.96,1.36,74.48,1.31,17.0,1.0,None
366,Male,21,2.99,2.99,65.57,6.6,7.0,1.0,Sports
367,Female,24,0.67,2.2,93.59,5.48,17.0,2.0,None
368,Female,23,1.9,1.81,57.79,4.95,1.0,4.0,Sports
369,Male,22,8.44,0.68,60.32,3.11,7.0,2.0,Sports
370,Male,20,11.48,2.55,84.37,5.04,9.0,3.0,None
371,Female,23,,3.9,67.62,1.62,8.0,,None
372,Female,19,0.24,3.3,85.65,,17.0,0.0,None
373,Female,21,7.84,0.24,57.89,0.99,7.0,0.0,Sports
374,Female,24,,1.5,62.61,5.72,18.0,0.0,Clubs
375,Male,20,9.84,3.7,57.83,0.96,2.0,,Clubs
376,Female,24,8.39,2.01,97.65,1.6,8.0,1.0,None
377,Female,20,10.31,2.65,70.27,0.85,,1.0,None
378,Male,22,9.87,3.65,66.86,3.81,8.0,4.0,Arts
379,Female,20,1.76,3.5,,8.42,19.0,3.0,Arts
380,Male,19,12.0,2.01,57.67,9.07,11.0,,Arts
381,Female,19,1.85,1.75,71.06,0.72,12.0,3.0,None
382,Female,18,10.48,1.36,53.43,6.35,7.0,1.0,Clubs
383,Female,19,6.24,2.88,75.54,6.84,14.0,1.0,Clubs
384,Male,23,7.71,1.15,72.75,5.34,12.0,2.0,None
385,Male,20,13.55,1.0,,6.67,12.0,2.0,None
386,Female,19,13.35,1.42,82.99,2.34,16.0,4.0,Sports
387,Male,22,12.27,0.71,72.3,4.9,14.0,3.0,Sports
388,Male,24,7.65,2.78,61.23,3.91,,2.0,Clubs
389,Male,24,11.04,2.46,86.34,0.9,2.0,2.0,Arts
390,Male,18,7.69,1.93,85.39,6.26,13.0,3.0,Clubs
391,Male,24,13.04,,57.66,,9.0,1.0,Sports
392,Male,20,6.04,3.64,95.74,2.75,16.0,4.0,Clubs
393,Female,18,14.55,0.12,53.22,4.74,7.0,4.0,Sports
394,Female,20,13.98,3.08,52.75,7.75,17.0,4.0,Sports
395,Male,22,11.12,3.61,59.37,8.02,11.0,2.0,Arts
396,Female,18,4.19,1.79,,6.5,16.0,1.0,Arts
397,Female,21,1.97,2.2,76.0,4.68,10.0,4.0,Sports
398,Female,23,12.82,3.78,89.4,5.76,8.0,3.0,None
399,Female,23,2.48,0.85,61.39,3.85,,4.0,Arts
400,Male,20,12.81,2.08,74.51,1.27,8.0,0.0,Sports
401,Female,24,7.36,1.9,67.91,3.86,11.0,1.0,None
402,Female,21,6.1,1.03,91.39,5.3,10.0,,None
403,Male,18,13.55,3.27,51.13,5.99,16.0,1.0,Clubs
404,Male,21,9.06,3.6,62.19,9.36,5.0,3.0,Clubs
405,Female,21,8.65,3.13,57.63,7.77,7.0,2.0,Arts
406,Female,24,8.38,0.78,92.96,1.52,9.0,2.0,None
407,Female,18,5.57,,73.38,1.74,14.0,1.0,Arts
408,Female,22,11.78,2.42,70.21,1.0,3.0,4.0,Sports
409,Female,24,3.79,0.23,72.47,7.38,17.0,0.0,Arts
410,Female,21,14.08,2.69,98.6,7.06,10.0,3.0,None
