CustomerID,InvoiceNo,Quantity,UnitPrice,Country,InvoiceDate,StockCode,Description,CustomerAge,SpendingScore
1429,30168,7,16.23,France,05-01-2020 06:00,,,36,28
1942,28475,47,42.19,France,05-01-2020 07:00,B,Clothing,23,86
1606,22398,43,42.2,Spain,05-01-2020 08:00,E,Sports and Outdoors,64,57
1232,21238,,10.81,Netherlands,05-01-2020 09:00,A,Electronics,,19
1559,23466,22,44.58,United Kingdom,,D,Toys and Games,22,31
1207,25363,63,80.81,Netherlands,05-01-2020 11:00,A,Electronics,60,84
1452,23166,46,30.37,France,05-01-2020 12:00,C,Home and Kitchen,69,53
1738,20779,45,43.54,Germany,05-01-2020 13:00,,,62,88
1500,,41,96.12,Germany,05-01-2020 14:00,B,Clothing,62,32
1920,38620,25,3.65,United Kingdom,05-01-2020 15:00,C,Home and Kitchen,53,9
1588,38023,50,59.36,United Kingdom,05-01-2020 16:00,D,Toys and Games,26,51
,28611,67,74.47,United Kingdom,,D,Toys and Games,40,83
1218,34583,52,76.21,Germany,05-01-2020 18:00,C,Home and Kitchen,,23
1871,24955,86,71.74,France,05-01-2020 19:00,B,Clothing,46,25
1080,28398,31,72.78,United Kingdom,05-01-2020 20:00,,,62,97
1548,,37,6.37,United Kingdom,05-01-2020 21:00,E,Sports and Outdoors,45,46
1613,27249,22,53.65,Germany,05-01-2020 22:00,D,Toys and Games,57,44
1702,32062,27,78.41,France,05-01-2020 23:00,B,Clothing,69,66
1540,23796,2,9.86,,06-01-2020 00:00,B,Clothing,28,67
1825,38918,22,1.7,France,06-01-2020 01:00,B,Clothing,36,28
1764,38564,53,81.55,Spain,06-01-2020 02:00,,,18,99
1250,35312,17,71.37,United Kingdom,06-01-2020 03:00,B,Clothing,26,78
,33207,56,41.51,United Kingdom,06-01-2020 04:00,B,Clothing,19,24
,21446,84,94.07,Germany,06-01-2020 05:00,C,Home and Kitchen,21,56
1414,20951,88,76.78,Spain,06-01-2020 06:00,C,Home and Kitchen,46,50
1085,21717,31,96.8,,06-01-2020 07:00,B,Clothing,21,3
1621,25913,43,92.97,Spain,06-01-2020 08:00,B,Clothing,18,23
1216,31390,72,48.39,Netherlands,06-01-2020 09:00,C,Home and Kitchen,45,34
1195,35477,53,75.59,Germany,06-01-2020 10:00,A,Electronics,35,9
1994,37980,5,67.08,Germany,06-01-2020 11:00,C,Home and Kitchen,63,82
1296,26594,2,81.24,United Kingdom,06-01-2020 12:00,C,Home and Kitchen,30,59
1945,31925,59,78.87,Germany,06-01-2020 13:00,C,Home and Kitchen,57,
1043,39600,4,15.75,United Kingdom,06-01-2020 14:00,,,23,22
,29098,99,23.76,United Kingdom,06-01-2020 15:00,E,Sports and Outdoors,66,35
1442,31942,34,26.94,,06-01-2020 16:00,D,Toys and Games,60,31
1089,34012,67,81.94,Germany,06-01-2020 17:00,A,Electronics,64,90
1986,32250,84,,Germany,06-01-2020 18:00,A,Electronics,56,78
1154,35408,73,49.79,Netherlands,06-01-2020 19:00,B,Clothing,39,48
1977,30346,6,58.29,Netherlands,,E,Sports and Outdoors,47,53
1477,34428,58,82.78,Germany,06-01-2020 21:00,B,Clothing,44,92
1620,,47,31.6,Germany,06-01-2020 22:00,A,Electronics,25,75
1058,33116,5,5.49,United Kingdom,06-01-2020 23:00,A,Electronics,60,32
1109,26283,61,48.52,,07-01-2020 00:00,B,Clothing,45,85
1478,36268,56,91.41,United Kingdom,07-01-2020 01:00,D,Toys and Games,19,87
1617,21337,35,79.15,,07-01-2020 02:00,B,Clothing,37,88
1898,30687,95,36.98,Spain,07-01-2020 03:00,D,Toys and Games,,12
1732,39358,13,6.94,France,07-01-2020 04:00,D,Toys and Games,31,
1774,26826,26,63.87,Netherlands,07-01-2020 05:00,C,Home and Kitchen,41,3
1593,25667,86,83.53,Spain,,A,Electronics,30,6
1783,32929,96,66.66,Netherlands,07-01-2020 07:00,C,Home and Kitchen,25,12
1048,36214,64,42.79,Netherlands,,A,Electronics,61,53
1376,28764,79,12.77,United Kingdom,07-01-2020 09:00,C,Home and Kitchen,38,20
1031,28013,11,91.12,,07-01-2020 10:00,D,Toys and Games,39,6
1485,23044,62,27.96,France,07-01-2020 11:00,C,Home and Kitchen,26,84
1600,25018,80,,United Kingdom,07-01-2020 12:00,E,Sports and Outdoors,59,14
1939,38617,47,81.69,France,07-01-2020 13:00,,,60,56
1991,27467,70,98.13,Netherlands,07-01-2020 14:00,C,Home and Kitchen,28,41
,39630,75,66.19,Spain,07-01-2020 15:00,C,Home and Kitchen,33,49
,30006,58,62.67,Netherlands,07-01-2020 16:00,E,Sports and Outdoors,67,65
1377,24041,10,32.28,France,07-01-2020 17:00,A,Electronics,26,84
1571,21889,,2.53,Germany,07-01-2020 18:00,C,Home and Kitchen,20,86
1930,30091,12,19.58,Germany,07-01-2020 19:00,A,Electronics,53,95
1241,33515,71,58.65,Spain,07-01-2020 20:00,B,Clothing,69,31
1540,39039,91,15.56,France,07-01-2020 21:00,D,Toys and Games,68,28
1586,30521,88,88.44,Spain,07-01-2020 22:00,B,Clothing,59,12
1581,23718,50,19.22,United Kingdom,07-01-2020 23:00,E,Sports and Outdoors,30,16
1594,29248,15,52.45,Netherlands,,E,Sports and Outdoors,18,
1356,,59,51.45,United Kingdom,08-01-2020 01:00,,,61,35
1684,29698,70,60.59,Germany,08-01-2020 02:00,A,Electronics,28,44
1922,34483,62,33.08,Netherlands,08-01-2020 03:00,C,Home and Kitchen,41,68
1196,21630,83,87.42,United Kingdom,08-01-2020 04:00,B,Clothing,22,10
1857,37375,72,44.71,Germany,08-01-2020 05:00,A,Electronics,19,98
1418,35283,62,70.17,United Kingdom,08-01-2020 06:00,A,Electronics,34,3
1658,24590,50,63.77,Netherlands,08-01-2020 07:00,A,Electronics,34,31
1272,26866,77,12.16,United Kingdom,08-01-2020 08:00,D,Toys and Games,37,52
,29222,54,62.45,Netherlands,08-01-2020 09:00,A,Electronics,32,95
1034,24921,54,55.29,United Kingdom,08-01-2020 10:00,D,Toys and Games,21,65
1624,38865,97,89.91,Spain,08-01-2020 11:00,E,Sports and Outdoors,,
1460,33345,96,88.15,United Kingdom,08-01-2020 12:00,C,Home and Kitchen,,5
1717,28754,28,15.52,United Kingdom,08-01-2020 13:00,B,Clothing,18,66
1669,26249,51,8.63,Spain,08-01-2020 14:00,A,Electronics,59,
1252,20793,74,29.81,Germany,08-01-2020 15:00,D,Toys and Games,,65
1633,33993,,98.67,Netherlands,08-01-2020 16:00,A,Electronics,64,21
1511,20986,1,2.65,France,08-01-2020 17:00,A,Electronics,68,71
1047,23595,85,67.45,Germany,08-01-2020 18:00,D,Toys and Games,21,11
1184,35527,69,61.05,Netherlands,08-01-2020 19:00,A,Electronics,55,90
1490,37238,1,,,08-01-2020 20:00,,,19,42
1272,34413,55,22.22,Germany,,E,Sports and Outdoors,62,66
1612,37953,85,23.06,United Kingdom,08-01-2020 22:00,C,Home and Kitchen,,94
1526,22256,89,43.35,Germany,08-01-2020 23:00,A,Electronics,51,61
1127,32101,84,10.04,,09-01-2020 00:00,D,Toys and Games,30,60
1209,33722,45,7.92,France,09-01-2020 01:00,B,Clothing,64,14
1623,30414,73,9.29,Spain,09-01-2020 02:00,A,Electronics,35,5
1781,24176,80,57.51,,09-01-2020 03:00,E,Sports and Outdoors,28,31
,27961,92,40.08,United Kingdom,09-01-2020 04:00,E,Sports and Outdoors,22,48
1172,35416,40,29.71,France,09-01-2020 05:00,D,Toys and Games,46,32
1864,25254,61,31.92,Germany,09-01-2020 06:00,A,Electronics,42,57
1677,28429,36,21.12,Spain,09-01-2020 07:00,A,Electronics,,34
1446,33783,24,41.44,United Kingdom,09-01-2020 08:00,A,Electronics,65,74
1118,32917,,20.7,France,09-01-2020 09:00,E,Sports and Outdoors,,95
1714,21732,14,69.96,Netherlands,09-01-2020 10:00,A,Electronics,58,27
1010,35475,98,12.83,Spain,09-01-2020 11:00,A,Electronics,55,82
,31253,88,94.85,,09-01-2020 12:00,A,Electronics,58,5
1303,20814,75,9.44,Netherlands,09-01-2020 13:00,A,Electronics,54,17
1759,27035,1,94.37,France,09-01-2020 14:00,D,Toys and Games,28,75
1153,21186,47,83.41,France,09-01-2020 15:00,E,Sports and Outdoors,61,69
1322,38609,76,68.23,France,09-01-2020 16:00,C,Home and Kitchen,49,56
1536,29176,21,91.27,Netherlands,09-01-2020 17:00,D,Toys and Games,66,38
1976,36903,73,14.35,United Kingdom,09-01-2020 18:00,A,Electronics,,54
1444,30738,39,18.04,France,09-01-2020 19:00,C,Home and Kitchen,69,48
1341,25041,3,25.59,Spain,09-01-2020 20:00,B,Clothing,23,85
1220,37838,16,24.86,France,09-01-2020 21:00,C,Home and Kitchen,64,88
1109,27759,68,31.43,France,09-01-2020 22:00,D,Toys and Games,66,94
1409,,26,57.78,France,09-01-2020 23:00,E,Sports and Outdoors,39,80
1417,39790,54,3.3,Netherlands,10-01-2020 00:00,D,Toys and Games,20,49
1601,20946,13,38.54,United Kingdom,10-01-2020 01:00,E,Sports and Outdoors,36,41
1504,24030,61,25.02,France,10-01-2020 02:00,E,Sports and Outdoors,51,
1776,28327,20,60.86,Netherlands,10-01-2020 03:00,E,Sports and Outdoors,58,57
1039,37176,83,,Spain,10-01-2020 04:00,B,Clothing,58,66
1508,21136,27,,United Kingdom,10-01-2020 05:00,C,Home and Kitchen,24,19
1458,20554,2,42.86,Netherlands,10-01-2020 06:00,D,Toys and Games,33,2
1262,33233,10,37.14,Germany,10-01-2020 07:00,D,Toys and Games,55,75
1669,23403,60,78.6,Spain,10-01-2020 08:00,E,Sports and Outdoors,26,33
1117,38638,89,7.66,Spain,10-01-2020 09:00,B,Clothing,30,73
1449,37750,19,96,Germany,10-01-2020 10:00,B,Clothing,51,59
1767,20948,15,42.08,Netherlands,10-01-2020 11:00,A,Electronics,63,89
1413,28295,47,31.71,Netherlands,10-01-2020 12:00,B,Clothing,54,6
1707,27207,24,97.42,Spain,10-01-2020 13:00,E,Sports and Outdoors,60,11
1825,29238,16,93.62,Netherlands,10-01-2020 14:00,E,Sports and Outdoors,64,27
1822,27419,81,64.37,Germany,10-01-2020 15:00,C,Home and Kitchen,23,72
1525,25956,60,2.34,Netherlands,10-01-2020 16:00,E,Sports and Outdoors,55,45
1460,34625,80,74.98,Spain,10-01-2020 17:00,C,Home and Kitchen,65,
1117,27322,82,33.89,Netherlands,10-01-2020 18:00,B,Clothing,69,91
1216,22614,,39.13,United Kingdom,10-01-2020 19:00,A,Electronics,21,63
1716,35465,4,16.29,,10-01-2020 20:00,D,Toys and Games,22,44
1076,31523,66,52.58,Germany,10-01-2020 21:00,E,Sports and Outdoors,23,41
1420,23271,49,74.58,France,10-01-2020 22:00,B,Clothing,30,47
1891,29029,31,27.66,Netherlands,10-01-2020 23:00,E,Sports and Outdoors,63,69
1171,25678,66,93.9,Germany,,C,Home and Kitchen,41,79
1389,37265,54,19.88,Netherlands,11-01-2020 01:00,B,Clothing,45,2
1025,39572,2,7.09,United Kingdom,11-01-2020 02:00,D,Toys and Games,30,15
1127,35221,61,64.61,Spain,11-01-2020 03:00,C,Home and Kitchen,59,95
1373,35571,15,85.01,Spain,11-01-2020 04:00,B,Clothing,66,
1653,30394,60,95.34,France,11-01-2020 05:00,D,Toys and Games,35,3
1903,39718,43,76.83,France,11-01-2020 06:00,C,Home and Kitchen,24,39
1023,35866,93,20.37,Germany,11-01-2020 07:00,D,Toys and Games,21,
1469,22198,,97.78,Germany,11-01-2020 08:00,B,Clothing,48,90
1743,29407,40,91.98,Germany,11-01-2020 09:00,C,Home and Kitchen,41,10
1422,29072,96,16.74,United Kingdom,11-01-2020 10:00,A,Electronics,,40
1176,37138,85,56.1,France,11-01-2020 11:00,E,Sports and Outdoors,38,13
1852,25217,30,55.77,France,11-01-2020 12:00,A,Electronics,65,85
1746,28892,63,44.53,Spain,11-01-2020 13:00,D,Toys and Games,59,98
,30411,24,98.44,France,,B,Clothing,,44
1537,20370,44,6.43,France,11-01-2020 15:00,E,Sports and Outdoors,47,
1265,21732,14,62.91,United Kingdom,11-01-2020 16:00,B,Clothing,69,73
1972,35514,28,20.93,Germany,11-01-2020 17:00,D,Toys and Games,68,30
1873,25259,,52.97,,11-01-2020 18:00,B,Clothing,52,1
1628,34116,56,,Netherlands,11-01-2020 19:00,C,Home and Kitchen,68,53
1569,37185,,25.05,,11-01-2020 20:00,C,Home and Kitchen,40,76
1269,29181,,39.64,,11-01-2020 21:00,D,Toys and Games,62,44
1328,20415,89,95.1,Spain,11-01-2020 22:00,B,Clothing,57,35
1454,23337,12,76.27,Germany,11-01-2020 23:00,D,Toys and Games,67,88
1294,28027,56,57.49,Germany,12-01-2020 00:00,E,Sports and Outdoors,47,40
1121,25057,61,22.59,Germany,12-01-2020 01:00,B,Clothing,36,45
1158,26967,61,42.82,Spain,12-01-2020 02:00,C,Home and Kitchen,49,60
1177,21620,40,77.52,Spain,12-01-2020 03:00,A,Electronics,67,63
1655,27993,20,82.14,Spain,12-01-2020 04:00,C,Home and Kitchen,36,10
1327,39176,42,24.84,Netherlands,12-01-2020 05:00,B,Clothing,39,47
1879,27386,7,,Netherlands,12-01-2020 06:00,B,Clothing,21,24
1306,24893,79,9.95,Spain,12-01-2020 07:00,B,Clothing,62,57
1910,24856,73,2.81,Germany,12-01-2020 08:00,B,Clothing,29,18
1088,23655,68,55.09,Germany,12-01-2020 09:00,,,32,57
1750,36260,31,22.83,Netherlands,12-01-2020 10:00,A,Electronics,32,72
1037,,87,8.35,Netherlands,,C,Home and Kitchen,27,46
1872,32424,70,73.12,Spain,12-01-2020 12:00,E,Sports and Outdoors,36,
1590,24308,92,50.05,Spain,12-01-2020 13:00,D,Toys and Games,25,77
1856,38246,76,79.73,Germany,12-01-2020 14:00,B,Clothing,,16
1838,20618,47,66.56,France,12-01-2020 15:00,C,Home and Kitchen,48,14
1345,37343,51,73.12,Germany,12-01-2020 16:00,D,Toys and Games,26,9
1251,31470,58,31.08,Germany,12-01-2020 17:00,A,Electronics,46,73
,35492,22,26.7,Spain,12-01-2020 18:00,C,Home and Kitchen,24,69
1977,,24,60.29,,12-01-2020 19:00,E,Sports and Outdoors,25,61
1148,32188,34,20.41,France,12-01-2020 20:00,D,Toys and Games,58,11
1015,30669,63,81.63,Spain,12-01-2020 21:00,C,Home and Kitchen,34,19
1366,31443,60,52.53,United Kingdom,12-01-2020 22:00,E,Sports and Outdoors,32,64
1834,38552,19,23.09,Spain,12-01-2020 23:00,B,Clothing,33,38
1832,39629,24,62.7,Netherlands,13-01-2020 00:00,C,Home and Kitchen,24,10
1780,27235,64,94.53,France,13-01-2020 01:00,B,Clothing,59,16
,29914,20,8.67,Spain,13-01-2020 02:00,,,36,93
1703,37545,98,11.38,Germany,13-01-2020 03:00,D,Toys and Games,55,69
1316,30081,27,84.46,Germany,13-01-2020 04:00,D,Toys and Games,42,82
1287,38424,58,11.4,Germany,13-01-2020 05:00,B,Clothing,29,42
1907,35667,44,4.42,Spain,13-01-2020 06:00,B,Clothing,49,44
1350,31593,93,35.12,United Kingdom,13-01-2020 07:00,E,Sports and Outdoors,64,53
1296,28160,65,46.94,Netherlands,13-01-2020 08:00,C,Home and Kitchen,27,35
,29291,46,57.16,Germany,13-01-2020 09:00,E,Sports and Outdoors,41,36
1391,32210,54,50.98,Spain,13-01-2020 10:00,B,Clothing,67,22
1442,24132,39,91.36,United Kingdom,13-01-2020 11:00,C,Home and Kitchen,21,24
1280,20844,7,76.98,France,13-01-2020 12:00,D,Toys and Games,60,76
1900,21643,54,98.39,France,13-01-2020 13:00,E,Sports and Outdoors,54,12
1300,21263,43,47.91,Netherlands,13-01-2020 14:00,E,Sports and Outdoors,62,35
1897,22934,20,8.89,Spain,13-01-2020 15:00,,,59,50
1425,27174,84,95.58,Spain,13-01-2020 16:00,B,Clothing,56,83
,20215,25,0.91,Germany,13-01-2020 17:00,C,Home and Kitchen,60,78
1933,24776,43,77.72,United Kingdom,13-01-2020 18:00,,,21,87
1742,38724,85,3.61,Netherlands,13-01-2020 19:00,B,Clothing,53,40
1514,34100,73,76.24,United Kingdom,13-01-2020 20:00,D,Toys and Games,54,22
1685,29699,27,93.82,Netherlands,,A,Electronics,42,47
,38474,92,39.23,Spain,,A,Electronics,58,75
1997,21116,25,24.48,Spain,13-01-2020 23:00,D,Toys and Games,47,66
1405,27750,,23.01,Netherlands,14-01-2020 00:00,A,Electronics,18,10
1615,33580,98,49.43,United Kingdom,14-01-2020 01:00,C,Home and Kitchen,46,43
1800,33932,66,17.5,France,14-01-2020 02:00,C,Home and Kitchen,33,69
1243,30932,9,67.46,France,14-01-2020 03:00,B,Clothing,54,94
1799,33246,83,37.15,Germany,14-01-2020 04:00,D,Toys and Games,54,85
1366,38545,79,32.65,Germany,14-01-2020 05:00,B,Clothing,24,97
1784,39640,53,46.4,United Kingdom,14-01-2020 06:00,C,Home and Kitchen,57,25
1119,29340,21,54.49,Spain,14-01-2020 07:00,C,Home and Kitchen,68,47
1849,39560,50,14.62,United Kingdom,14-01-2020 08:00,C,Home and Kitchen,50,7
1439,26380,16,70.92,Netherlands,14-01-2020 09:00,E,Sports and Outdoors,67,28
,34988,66,88.35,France,14-01-2020 10:00,A,Electronics,39,80
1503,35833,26,28.16,Germany,14-01-2020 11:00,B,Clothing,60,45
1581,39729,44,18.45,United Kingdom,14-01-2020 12:00,B,Clothing,44,67
1432,29332,29,76.17,United Kingdom,14-01-2020 13:00,C,Home and Kitchen,46,83
,39317,97,18.76,Netherlands,14-01-2020 14:00,E,Sports and Outdoors,33,
1460,25655,98,,Spain,14-01-2020 15:00,B,Clothing,38,
1758,22448,46,62.11,Spain,14-01-2020 16:00,B,Clothing,28,11
1117,34185,91,24.36,France,14-01-2020 17:00,E,Sports and Outdoors,38,3
1030,37211,71,17.6,Germany,14-01-2020 18:00,C,Home and Kitchen,26,61
1976,21203,49,98.17,Spain,14-01-2020 19:00,E,Sports and Outdoors,44,66
1148,26619,15,29.54,Spain,14-01-2020 20:00,A,Electronics,56,56
,26798,17,90.39,Spain,14-01-2020 21:00,B,Clothing,39,26
1272,37228,9,18.23,United Kingdom,14-01-2020 22:00,A,Electronics,32,86
1863,22971,77,81.99,Spain,14-01-2020 23:00,B,Clothing,60,81
1384,21268,32,50.45,Netherlands,15-01-2020 00:00,A,Electronics,40,34
1879,35952,66,8.32,France,15-01-2020 01:00,B,Clothing,68,55
1101,24744,59,73.49,Spain,15-01-2020 02:00,C,Home and Kitchen,46,79
1071,27735,32,89.26,,15-01-2020 03:00,D,Toys and Games,56,76
1704,34548,84,16.72,United Kingdom,15-01-2020 04:00,E,Sports and Outdoors,33,16
1833,29821,43,72.7,Netherlands,15-01-2020 05:00,B,Clothing,20,80
1622,23530,83,44.78,France,15-01-2020 06:00,E,Sports and Outdoors,33,39
1804,25085,91,75.51,United Kingdom,15-01-2020 07:00,B,Clothing,25,6
1407,28995,59,71.54,Netherlands,,D,Toys and Games,43,72
1346,22264,30,3.15,United Kingdom,15-01-2020 09:00,C,Home and Kitchen,59,52
1851,20019,11,18.28,France,15-01-2020 10:00,C,Home and Kitchen,26,25
1366,38165,80,47.37,France,,E,Sports and Outdoors,52,56
1829,32962,26,93.39,Spain,15-01-2020 12:00,D,Toys and Games,24,83
1788,27296,94,34.54,Germany,15-01-2020 13:00,E,Sports and Outdoors,25,19
1617,36333,2,63.07,Spain,15-01-2020 14:00,C,Home and Kitchen,52,
,28748,34,1.7,United Kingdom,15-01-2020 15:00,A,Electronics,65,73
1290,38628,41,71.26,Spain,15-01-2020 16:00,E,Sports and Outdoors,63,93
1421,39367,86,60.51,France,15-01-2020 17:00,B,Clothing,56,27
1180,31755,31,71.68,France,15-01-2020 18:00,C,Home and Kitchen,53,5
