Complaint ID,Complaint Text,Category
102,Credit limit was reduced without notification.,Customer Service Issue
103,HDFC Bank - Branch staff was unhelpful and rude.,Fraudulent Transaction
104,Customer care provided incorrect information.,Credit Card Issue
105,HDFC Bank - Incorrect deduction of annual credit card fee.,Credit Card Issue
106,HDFC Bank - Credit card was blocked without prior notice.,Credit Card Issue
107,Customer support is unreachable most of the time.,Customer Service Issue
108,Cheque clearance took longer than expected.,Account Issue
109,Net banking account got locked without reason.,Cheque Issue
110,Credit limit was reduced without notification.,Cheque Issue
111,Cheque clearance took longer than expected.,Customer Service Issue
112,Cheque clearance took longer than expected.,Net Banking Issue
113,Net banking account got locked without reason.,Credit Card Issue
114,Online fund transfer failed but money was debited.,Account Issue
115,HDFC Bank - SMS alerts not received for transactions.,Account Issue
116,Delayed processing of loan application.,Notification Issue
117,Delayed processing of loan application.,Notification Issue
118,Credit card was blocked without prior notice.,ATM Issue
119,ATM did not dispense cash but the amount was deducted.,ATM Issue
120,ATM did not dispense cash but the amount was deducted.,Loan Issue
121,HDFC Bank - ATM did not dispense cash but the amount was deducted.,ATM Issue
122,HDFC Bank - Online fund transfer failed but money was debited.,Notification Issue
123,Interest rate on fixed deposit was not updated.,Net Banking Issue
124,Cheque clearance took longer than expected.,Branch Service Issue
125,Delayed processing of loan application.,Customer Service Issue
126,Customer care provided incorrect information.,Customer Service Issue
127,Customer support is unreachable most of the time.,Notification Issue
128,Credit card was blocked without prior notice.,Account Issue
129,Cash deposit machine was not working properly.,Loan Issue
130,HDFC Bank - Loan EMI was auto-debited twice.,Fraudulent Transaction
131,Delayed processing of loan application.,Fraudulent Transaction
132,HDFC Bank - Mobile banking app is frequently crashing.,Customer Service Issue
133,Interest rate on fixed deposit was not updated.,Loan Issue
134,Credit limit was reduced without notification.,Net Banking Issue
135,Net banking account got locked without reason.,Branch Service Issue
136,Incorrect deduction of annual credit card fee.,Credit Card Issue
137,SMS alerts not received for transactions.,Fraudulent Transaction
138,Cash deposit machine was not working properly.,Customer Service Issue
139,HDFC Bank - Mobile banking app is frequently crashing.,Loan Issue
140,Unauthorized transaction detected on my debit card.,Credit Card Issue
141,Delay in issuing new debit card.,Notification Issue
142,Branch staff was unhelpful and rude.,Branch Service Issue
143,Customer support is unreachable most of the time.,Branch Service Issue
144,Cash deposit machine was not working properly.,Customer Service Issue
145,Online fund transfer failed but money was debited.,Branch Service Issue
146,Cash deposit machine was not working properly.,Customer Service Issue
147,Delay in issuing new debit card.,Branch Service Issue
148,Delayed processing of loan application.,Branch Service Issue
149,Interest rate on fixed deposit was not updated.,ATM Issue
150,SMS alerts not received for transactions.,Customer Service Issue
151,HDFC Bank - Online fund transfer failed but money was debited.,Fraudulent Transaction
152,Credit card was blocked without prior notice.,Credit Card Issue
153,HDFC Bank - Unable to update contact details online.,ATM Issue
154,Net banking account got locked without reason.,Fraudulent Transaction
155,Interest rate on fixed deposit was not updated.,Fraudulent Transaction
156,Loan EMI was auto-debited twice.,Loan Issue
157,Net banking account got locked without reason.,Fraudulent Transaction
158,Incorrect deduction of annual credit card fee.,Net Banking Issue
159,HDFC Bank - Online fund transfer failed but money was debited.,Net Banking Issue
160,Net banking account got locked without reason.,Credit Card Issue
161,Customer care provided incorrect information.,ATM Issue
162,HDFC Bank - Customer care provided incorrect information.,Notification Issue
163,HDFC Bank - Customer care provided incorrect information.,Account Issue
164,Incorrect deduction of annual credit card fee.,Account Issue
165,HDFC Bank - Online fund transfer failed but money was debited.,Loan Issue
166,Cheque clearance took longer than expected.,Net Banking Issue
167,Unauthorized transaction detected on my debit card.,Fraudulent Transaction
168,HDFC Bank - Interest rate on fixed deposit was not updated.,Fraudulent Transaction
169,HDFC Bank - Unable to update contact details online.,Account Issue
170,Incorrect deduction of annual credit card fee.,Net Banking Issue
171,Mobile banking app is frequently crashing.,Cheque Issue
172,Credit limit was reduced without notification.,Branch Service Issue
173,Branch staff was unhelpful and rude.,Cheque Issue
174,HDFC Bank - Delayed processing of loan application.,Account Issue
175,ATM did not dispense cash but the amount was deducted.,Notification Issue
176,Delayed processing of loan application.,ATM Issue
177,HDFC Bank - Loan EMI was auto-debited twice.,Credit Card Issue
178,ATM did not dispense cash but the amount was deducted.,ATM Issue
179,Incorrect charges on my account statement.,Notification Issue
180,SMS alerts not received for transactions.,Cheque Issue
181,HDFC Bank - ATM did not dispense cash but the amount was deducted.,ATM Issue
182,Loan EMI was auto-debited twice.,Net Banking Issue
183,Cheque clearance took longer than expected.,Credit Card Issue
184,HDFC Bank - Delay in issuing new debit card.,Account Issue
185,Customer support is unreachable most of the time.,Customer Service Issue
186,Cash deposit machine was not working properly.,Net Banking Issue
187,Incorrect charges on my account statement.,ATM Issue
188,Interest rate on fixed deposit was not updated.,Net Banking Issue
189,Delayed processing of loan application.,Branch Service Issue
190,Branch staff was unhelpful and rude.,Cheque Issue
191,Net banking account got locked without reason.,ATM Issue
192,Net banking account got locked without reason.,Branch Service Issue
193,HDFC Bank - Incorrect charges on my account statement.,Branch Service Issue
194,SMS alerts not received for transactions.,Fraudulent Transaction
195,Incorrect deduction of annual credit card fee.,Account Issue
196,HDFC Bank - Net banking account got locked without reason.,Net Banking Issue
197,Unauthorized transaction detected on my debit card.,Branch Service Issue
198,Delayed processing of loan application.,Credit Card Issue
199,HDFC Bank - SMS alerts not received for transactions.,ATM Issue
200,HDFC Bank - Delay in issuing new debit card.,Notification Issue
201,Cash deposit machine was not working properly.,Cheque Issue
202,Cash deposit machine was not working properly.,Net Banking Issue
203,Cash deposit machine was not working properly.,Customer Service Issue
204,SMS alerts not received for transactions.,Credit Card Issue
205,HDFC Bank - SMS alerts not received for transactions.,Cheque Issue
206,Unauthorized transaction detected on my debit card.,Account Issue
207,Unable to update contact details online.,Notification Issue
208,HDFC Bank - SMS alerts not received for transactions.,Notification Issue
209,Delay in issuing new debit card.,Loan Issue
210,Incorrect charges on my account statement.,Fraudulent Transaction
211,Unable to update contact details online.,Customer Service Issue
212,Unauthorized transaction detected on my debit card.,ATM Issue
213,Credit limit was reduced without notification.,Loan Issue
214,HDFC Bank - Mobile banking app is frequently crashing.,Notification Issue
215,HDFC Bank - ATM did not dispense cash but the amount was deducted.,Notification Issue
216,Customer support is unreachable most of the time.,Account Issue
217,Interest rate on fixed deposit was not updated.,Net Banking Issue
218,Unauthorized transaction detected on my debit card.,Notification Issue
219,Customer care provided incorrect information.,Customer Service Issue
220,HDFC Bank - Incorrect charges on my account statement.,ATM Issue
221,Mobile banking app is frequently crashing.,Fraudulent Transaction
222,SMS alerts not received for transactions.,Customer Service Issue
223,Online fund transfer failed but money was debited.,Loan Issue
224,Online fund transfer failed but money was debited.,Net Banking Issue
225,Cheque clearance took longer than expected.,Loan Issue
226,Unable to update contact details online.,Account Issue
227,Credit limit was reduced without notification.,ATM Issue
228,Unauthorized transaction detected on my debit card.,Credit Card Issue
229,ATM did not dispense cash but the amount was deducted.,Cheque Issue
230,Unauthorized transaction detected on my debit card.,Cheque Issue
231,Customer care provided incorrect information.,Notification Issue
232,HDFC Bank - Unauthorized transaction detected on my debit card.,Notification Issue
233,Mobile banking app is frequently crashing.,Customer Service Issue
234,Loan EMI was auto-debited twice.,Loan Issue
235,Credit card was blocked without prior notice.,Cheque Issue
236,SMS alerts not received for transactions.,Fraudulent Transaction
237,Credit card was blocked without prior notice.,Notification Issue
238,HDFC Bank - ATM did not dispense cash but the amount was deducted.,Customer Service Issue
239,Credit limit was reduced without notification.,Net Banking Issue
240,SMS alerts not received for transactions.,Notification Issue
241,Customer care provided incorrect information.,Loan Issue
242,HDFC Bank - Cash deposit machine was not working properly.,Account Issue
243,Unable to update contact details online.,Branch Service Issue
244,Delay in issuing new debit card.,Fraudulent Transaction
245,Cash deposit machine was not working properly.,Account Issue
246,Credit limit was reduced without notification.,Credit Card Issue
247,ATM did not dispense cash but the amount was deducted.,Customer Service Issue
248,Incorrect charges on my account statement.,Account Issue
249,Customer support is unreachable most of the time.,Account Issue
250,Branch staff was unhelpful and rude.,Net Banking Issue
251,HDFC Bank - Incorrect deduction of annual credit card fee.,Credit Card Issue
252,Delayed processing of loan application.,Notification Issue
253,Customer support is unreachable most of the time.,Credit Card Issue
254,HDFC Bank - Cheque clearance took longer than expected.,Customer Service Issue
255,Loan EMI was auto-debited twice.,Customer Service Issue
256,Interest rate on fixed deposit was not updated.,Account Issue
257,Online fund transfer failed but money was debited.,Branch Service Issue
258,Cash deposit machine was not working properly.,Credit Card Issue
259,HDFC Bank - Interest rate on fixed deposit was not updated.,Cheque Issue
260,Interest rate on fixed deposit was not updated.,Fraudulent Transaction
261,Unauthorized transaction detected on my debit card.,Cheque Issue
262,HDFC Bank - Incorrect charges on my account statement.,Account Issue
263,HDFC Bank - Unauthorized transaction detected on my debit card.,Branch Service Issue
264,HDFC Bank - Loan EMI was auto-debited twice.,Branch Service Issue
265,Cash deposit machine was not working properly.,Cheque Issue
266,Incorrect charges on my account statement.,Customer Service Issue
267,HDFC Bank - Unauthorized transaction detected on my debit card.,Customer Service Issue
268,HDFC Bank - Delayed processing of loan application.,Fraudulent Transaction
269,ATM did not dispense cash but the amount was deducted.,Fraudulent Transaction
270,HDFC Bank - Cheque clearance took longer than expected.,ATM Issue
271,Cash deposit machine was not working properly.,Branch Service Issue
272,Credit limit was reduced without notification.,Customer Service Issue
273,Delayed processing of loan application.,Cheque Issue
274,Incorrect charges on my account statement.,Customer Service Issue
275,HDFC Bank - Unable to update contact details online.,Fraudulent Transaction
276,Branch staff was unhelpful and rude.,Customer Service Issue
277,Interest rate on fixed deposit was not updated.,Credit Card Issue
278,Customer support is unreachable most of the time.,Loan Issue
279,Credit card was blocked without prior notice.,Fraudulent Transaction
280,Credit limit was reduced without notification.,Account Issue
281,Delayed processing of loan application.,Cheque Issue
282,Mobile banking app is frequently crashing.,ATM Issue
283,Customer care provided incorrect information.,Notification Issue
284,HDFC Bank - Unable to update contact details online.,Loan Issue
285,Cheque clearance took longer than expected.,Net Banking Issue
286,Delay in issuing new debit card.,Credit Card Issue
287,Unable to update contact details online.,Credit Card Issue
288,Credit card was blocked without prior notice.,Branch Service Issue
289,Interest rate on fixed deposit was not updated.,Account Issue
290,Mobile banking app is frequently crashing.,ATM Issue
291,Loan EMI was auto-debited twice.,Branch Service Issue
292,Branch staff was unhelpful and rude.,Net Banking Issue
293,Branch staff was unhelpful and rude.,ATM Issue
294,Unauthorized transaction detected on my debit card.,Loan Issue
295,Credit card was blocked without prior notice.,Cheque Issue
296,Unable to update contact details online.,Notification Issue
297,HDFC Bank - ATM did not dispense cash but the amount was deducted.,Notification Issue
298,Delay in issuing new debit card.,Loan Issue
299,Customer care provided incorrect information.,Cheque Issue
300,Delay in issuing new debit card.,Notification Issue
301,HDFC Bank - ATM did not dispense cash but the amount was deducted.,Cheque Issue
302,Delay in issuing new debit card.,Account Issue
303,HDFC Bank - Loan EMI was auto-debited twice.,Credit Card Issue
304,Cheque clearance took longer than expected.,Net Banking Issue
305,Interest rate on fixed deposit was not updated.,Notification Issue
306,HDFC Bank - Delayed processing of loan application.,Notification Issue
307,ATM did not dispense cash but the amount was deducted.,Notification Issue
308,Unauthorized transaction detected on my debit card.,Account Issue
309,Net banking account got locked without reason.,ATM Issue
310,HDFC Bank - Interest rate on fixed deposit was not updated.,Fraudulent Transaction
311,Net banking account got locked without reason.,Notification Issue
312,Branch staff was unhelpful and rude.,Loan Issue
313,HDFC Bank - Credit card was blocked without prior notice.,Cheque Issue
314,Net banking account got locked without reason.,Cheque Issue
315,Incorrect deduction of annual credit card fee.,Fraudulent Transaction
316,HDFC Bank - ATM did not dispense cash but the amount was deducted.,Loan Issue
317,HDFC Bank - Incorrect charges on my account statement.,Loan Issue
318,HDFC Bank - Interest rate on fixed deposit was not updated.,Cheque Issue
319,HDFC Bank - Delayed processing of loan application.,Loan Issue
320,Credit limit was reduced without notification.,Fraudulent Transaction
321,Incorrect deduction of annual credit card fee.,ATM Issue
322,Cheque clearance took longer than expected.,ATM Issue
323,Loan EMI was auto-debited twice.,Loan Issue
324,Loan EMI was auto-debited twice.,Loan Issue
325,Customer support is unreachable most of the time.,Credit Card Issue
326,Credit card was blocked without prior notice.,Account Issue
327,Online fund transfer failed but money was debited.,Loan Issue
328,Interest rate on fixed deposit was not updated.,Fraudulent Transaction
329,Loan EMI was auto-debited twice.,Loan Issue
330,HDFC Bank - Delay in issuing new debit card.,Account Issue
331,Unable to update contact details online.,Notification Issue
332,Mobile banking app is frequently crashing.,Cheque Issue
333,Credit card was blocked without prior notice.,Loan Issue
334,Delay in issuing new debit card.,Customer Service Issue
335,HDFC Bank - Loan EMI was auto-debited twice.,Credit Card Issue
336,Credit card was blocked without prior notice.,Credit Card Issue
337,Credit limit was reduced without notification.,Customer Service Issue
338,Loan EMI was auto-debited twice.,Account Issue
339,Online fund transfer failed but money was debited.,Branch Service Issue
340,Unable to update contact details online.,Fraudulent Transaction
341,SMS alerts not received for transactions.,Notification Issue
342,Delayed processing of loan application.,Notification Issue
343,ATM did not dispense cash but the amount was deducted.,Net Banking Issue
344,HDFC Bank - Net banking account got locked without reason.,Notification Issue
345,Interest rate on fixed deposit was not updated.,Net Banking Issue
346,HDFC Bank - Customer support is unreachable most of the time.,Net Banking Issue
347,Credit limit was reduced without notification.,Loan Issue
348,SMS alerts not received for transactions.,ATM Issue
349,Cash deposit machine was not working properly.,Credit Card Issue
350,Credit card was blocked without prior notice.,Cheque Issue
351,Unable to update contact details online.,Account Issue
352,HDFC Bank - Interest rate on fixed deposit was not updated.,Account Issue
353,Unauthorized transaction detected on my debit card.,Notification Issue
354,Incorrect charges on my account statement.,Branch Service Issue
355,Cash deposit machine was not working properly.,Fraudulent Transaction
356,Cash deposit machine was not working properly.,Account Issue
357,Credit limit was reduced without notification.,Branch Service Issue
358,SMS alerts not received for transactions.,Net Banking Issue
359,Interest rate on fixed deposit was not updated.,Branch Service Issue
360,Incorrect charges on my account statement.,ATM Issue
361,HDFC Bank - SMS alerts not received for transactions.,Notification Issue
362,Mobile banking app is frequently crashing.,Net Banking Issue
363,Customer support is unreachable most of the time.,Account Issue
364,Credit limit was reduced without notification.,ATM Issue
365,Credit limit was reduced without notification.,Notification Issue
366,Customer support is unreachable most of the time.,Notification Issue
367,Online fund transfer failed but money was debited.,Account Issue
368,Unable to update contact details online.,Net Banking Issue
369,Delayed processing of loan application.,Fraudulent Transaction
370,Loan EMI was auto-debited twice.,ATM Issue
371,Customer support is unreachable most of the time.,Loan Issue
372,HDFC Bank - Customer care provided incorrect information.,Branch Service Issue
373,Interest rate on fixed deposit was not updated.,Customer Service Issue
374,Interest rate on fixed deposit was not updated.,Net Banking Issue
375,ATM did not dispense cash but the amount was deducted.,Loan Issue
376,Customer support is unreachable most of the time.,Branch Service Issue
377,Unable to update contact details online.,Credit Card Issue
378,HDFC Bank - Branch staff was unhelpful and rude.,Loan Issue
379,Cheque clearance took longer than expected.,Loan Issue
380,Unauthorized transaction detected on my debit card.,Notification Issue
381,Credit limit was reduced without notification.,Net Banking Issue
382,HDFC Bank - Incorrect deduction of annual credit card fee.,Notification Issue
383,Branch staff was unhelpful and rude.,Branch Service Issue
384,HDFC Bank - Credit card was blocked without prior notice.,Credit Card Issue
385,Interest rate on fixed deposit was not updated.,Account Issue
386,Delayed processing of loan application.,Credit Card Issue
387,HDFC Bank - Cash deposit machine was not working properly.,Net Banking Issue
388,HDFC Bank - Credit card was blocked without prior notice.,Notification Issue
389,Branch staff was unhelpful and rude.,Customer Service Issue
390,HDFC Bank - Credit card was blocked without prior notice.,Net Banking Issue
391,Delayed processing of loan application.,Customer Service Issue
392,Interest rate on fixed deposit was not updated.,Net Banking Issue
393,Cheque clearance took longer than expected.,Credit Card Issue
394,HDFC Bank - Incorrect charges on my account statement.,Net Banking Issue
395,Customer support is unreachable most of the time.,Fraudulent Transaction
396,Branch staff was unhelpful and rude.,Loan Issue
397,Customer care provided incorrect information.,Credit Card Issue
398,Loan EMI was auto-debited twice.,Fraudulent Transaction
399,HDFC Bank - Unauthorized transaction detected on my debit card.,Branch Service Issue
400,Unauthorized transaction detected on my debit card.,Net Banking Issue
401,Online fund transfer failed but money was debited.,Net Banking Issue
402,Unauthorized transaction detected on my debit card.,Customer Service Issue
403,Branch staff was unhelpful and rude.,ATM Issue
404,Incorrect deduction of annual credit card fee.,Customer Service Issue
405,SMS alerts not received for transactions.,Credit Card Issue
406,HDFC Bank - Net banking account got locked without reason.,Loan Issue
407,Delayed processing of loan application.,Fraudulent Transaction
408,HDFC Bank - Credit card was blocked without prior notice.,Loan Issue
409,Cash deposit machine was not working properly.,Fraudulent Transaction
410,Mobile banking app is frequently crashing.,Branch Service Issue
411,Interest rate on fixed deposit was not updated.,Notification Issue
412,HDFC Bank - Unable to update contact details online.,Net Banking Issue
413,HDFC Bank - ATM did not dispense cash but the amount was deducted.,Notification Issue
414,HDFC Bank - Delayed processing of loan application.,Notification Issue
415,ATM did not dispense cash but the amount was deducted.,Customer Service Issue
416,HDFC Bank - Loan EMI was auto-debited twice.,Credit Card Issue
417,Credit limit was reduced without notification.,ATM Issue
418,HDFC Bank - Interest rate on fixed deposit was not updated.,Net Banking Issue
419,HDFC Bank - Delay in issuing new debit card.,Account Issue
420,HDFC Bank - Delay in issuing new debit card.,Account Issue
421,SMS alerts not received for transactions.,Cheque Issue
422,HDFC Bank - Customer care provided incorrect information.,Loan Issue
423,Unable to update contact details online.,ATM Issue
424,ATM did not dispense cash but the amount was deducted.,Fraudulent Transaction
425,Customer care provided incorrect information.,Account Issue
426,Unable to update contact details online.,Fraudulent Transaction
427,Branch staff was unhelpful and rude.,Loan Issue
428,Incorrect deduction of annual credit card fee.,Notification Issue
429,Interest rate on fixed deposit was not updated.,Net Banking Issue
430,Interest rate on fixed deposit was not updated.,Branch Service Issue
431,Credit limit was reduced without notification.,Customer Service Issue
432,HDFC Bank - Credit card was blocked without prior notice.,Loan Issue
433,Unable to update contact details online.,Fraudulent Transaction
434,Branch staff was unhelpful and rude.,ATM Issue
435,Delay in issuing new debit card.,Net Banking Issue
436,Delay in issuing new debit card.,Cheque Issue
437,Customer support is unreachable most of the time.,Notification Issue
438,HDFC Bank - Branch staff was unhelpful and rude.,ATM Issue
439,Net banking account got locked without reason.,Fraudulent Transaction
440,Incorrect deduction of annual credit card fee.,Account Issue
441,Delayed processing of loan application.,Net Banking Issue
442,Unable to update contact details online.,Branch Service Issue
443,Cheque clearance took longer than expected.,Net Banking Issue
444,Incorrect charges on my account statement.,Credit Card Issue
445,Credit limit was reduced without notification.,Loan Issue
446,Customer care provided incorrect information.,Branch Service Issue
447,Loan EMI was auto-debited twice.,Notification Issue
448,Net banking account got locked without reason.,Cheque Issue
449,Cheque clearance took longer than expected.,Net Banking Issue
450,Interest rate on fixed deposit was not updated.,Branch Service Issue
451,Online fund transfer failed but money was debited.,Fraudulent Transaction
452,Unauthorized transaction detected on my debit card.,ATM Issue
453,HDFC Bank - Credit card was blocked without prior notice.,Loan Issue
454,Online fund transfer failed but money was debited.,Credit Card Issue
455,SMS alerts not received for transactions.,Loan Issue
456,Incorrect deduction of annual credit card fee.,Notification Issue
457,Credit limit was reduced without notification.,ATM Issue
458,Online fund transfer failed but money was debited.,Cheque Issue
459,Customer care provided incorrect information.,Loan Issue
460,Cheque clearance took longer than expected.,Notification Issue
461,Credit limit was reduced without notification.,Cheque Issue
462,Cash deposit machine was not working properly.,ATM Issue
463,Mobile banking app is frequently crashing.,Notification Issue
464,Customer support is unreachable most of the time.,Loan Issue
465,Incorrect deduction of annual credit card fee.,ATM Issue
466,Delay in issuing new debit card.,Notification Issue
467,Online fund transfer failed but money was debited.,Credit Card Issue
468,Delayed processing of loan application.,Fraudulent Transaction
469,Credit card was blocked without prior notice.,Account Issue
470,Customer support is unreachable most of the time.,Loan Issue
471,Unable to update contact details online.,Loan Issue
472,Loan EMI was auto-debited twice.,Notification Issue
473,Interest rate on fixed deposit was not updated.,Customer Service Issue
474,HDFC Bank - Customer support is unreachable most of the time.,Fraudulent Transaction
475,Delay in issuing new debit card.,Credit Card Issue
476,HDFC Bank - Cheque clearance took longer than expected.,Account Issue
477,Interest rate on fixed deposit was not updated.,Notification Issue
478,Incorrect charges on my account statement.,Customer Service Issue
479,HDFC Bank - Delayed processing of loan application.,Loan Issue
480,Incorrect deduction of annual credit card fee.,Cheque Issue
481,Customer support is unreachable most of the time.,Loan Issue
482,Mobile banking app is frequently crashing.,ATM Issue
483,Delayed processing of loan application.,Notification Issue
484,Mobile banking app is frequently crashing.,Notification Issue
485,Cheque clearance took longer than expected.,Cheque Issue
486,Branch staff was unhelpful and rude.,Cheque Issue
487,HDFC Bank - Credit limit was reduced without notification.,ATM Issue
488,Net banking account got locked without reason.,Fraudulent Transaction
489,Interest rate on fixed deposit was not updated.,Customer Service Issue
490,Incorrect deduction of annual credit card fee.,Customer Service Issue
491,HDFC Bank - Interest rate on fixed deposit was not updated.,Fraudulent Transaction
492,Credit limit was reduced without notification.,Notification Issue
493,Incorrect deduction of annual credit card fee.,Credit Card Issue
494,Interest rate on fixed deposit was not updated.,Net Banking Issue
495,Delay in issuing new debit card.,Account Issue
496,HDFC Bank - Unauthorized transaction detected on my debit card.,Cheque Issue
497,HDFC Bank - Loan EMI was auto-debited twice.,Loan Issue
498,HDFC Bank - Incorrect deduction of annual credit card fee.,Fraudulent Transaction
499,Customer care provided incorrect information.,Loan Issue
500,Customer support is unreachable most of the time.,Credit Card Issue
501,Loan EMI was auto-debited twice.,Customer Service Issue
502,Interest rate on fixed deposit was not updated.,Credit Card Issue
503,Unauthorized transaction detected on my debit card.,Branch Service Issue
504,ATM did not dispense cash but the amount was deducted.,Net Banking Issue
505,HDFC Bank - Net banking account got locked without reason.,Loan Issue
506,Delay in issuing new debit card.,Customer Service Issue
507,Cash deposit machine was not working properly.,Fraudulent Transaction
508,ATM did not dispense cash but the amount was deducted.,ATM Issue
509,SMS alerts not received for transactions.,Fraudulent Transaction
510,Delayed processing of loan application.,Branch Service Issue
511,Cash deposit machine was not working properly.,Credit Card Issue
512,Credit limit was reduced without notification.,Branch Service Issue
513,HDFC Bank - Cheque clearance took longer than expected.,ATM Issue
514,HDFC Bank - Net banking account got locked without reason.,Notification Issue
515,Credit limit was reduced without notification.,Credit Card Issue
