CustomerID,Age,Gender,AnnualIncome,PurchaseAmount,PurchaseFrequency,LastPurchaseDate,ProductCategory,LoyaltyProgramMember,CustomerRating
80,53,Male,78819,234.283721,12,21-03-2023,Toys,1,2.82241015
81,31,Female,63856,245.9799649,47,,Books,1,2.453335128
82,48,Male,53576,467.772058,5,23-03-2023,Clothing,0,3.518269581
83,65,Male,61938,320.357515,39,24-03-2023,Electronics,1,3.695351845
84,32,Other,69028,449.8405123,11,25-03-2023,Clothing,0,1.842751668
85,25,Other,79807,230.9718834,11,26-03-2023,Electronics,0,4.347755379
86,31,Other,69877,78.97094797,47,27-03-2023,Home,1,2.159748375
87,40,Other,117783,465.3181191,42,28-03-2023,Toys,1,
88,57,Female,63461,232.0590323,47,29-03-2023,Books,1,2.625599411
89,38,Other,113474,94.90755383,31,30-03-2023,Clothing,1,3.922240324
90,33,Male,60469,154.6858915,31,31-03-2023,Clothing,0,4.861832714
91,62,Female,103136,30.1472819,13,01-04-2023,Clothing,1,4.237125057
92,35,Other,40435,236.8087928,,02-04-2023,Clothing,0,4.761393511
93,64,Male,104117,427.2984451,49,03-04-2023,Toys,1,1.562423216
,41,Female,34191,467.1223257,45,04-04-2023,Electronics,1,1.284707195
95,43,Female,104726,466.6380927,42,05-04-2023,Toys,1,3.230819048
96,42,Other,47386,66.98886269,25,06-04-2023,Home,0,2.161189932
97,62,Female,51721,194.1166718,33,07-04-2023,Toys,1,4.312219892
98,58,Male,74786,18.97323603,33,08-04-2023,Toys,0,3.687951486
99,46,Female,33704,428.3068458,15,09-04-2023,Home,1,4.882912656
100,32,Male,76635,182.5841022,16,10-04-2023,Toys,1,2.019169423
101,62,Female,22123,317.4029288,44,11-04-2023,Electronics,0,2.943136457
102,18,Other,110710,358.8747268,38,12-04-2023,Books,0,3.00496191
103,42,Male,82993,217.7731115,6,13-04-2023,Home,1,1.956707179
104,24,Female,100122,156.6889566,44,14-04-2023,Clothing,1,3.360373598
105,26,Female,117512,481.2953905,25,15-04-2023,Electronics,0,2.773143944
106,41,Female,45416,482.4216714,15,16-04-2023,Books,1,2.786886224
107,18,Male,21814,148.2710022,4,17-04-2023,Electronics,,2.450946592
108,61,Male,98537,242.4144229,4,18-04-2023,Electronics,1,1.06771741
109,25,Male,70258,486.5578585,30,19-04-2023,Clothing,,3.088380948
110,41,Other,36508,7.409861789,34,20-04-2023,Books,0,2.340991343
111,28,Other,105166,209.2757329,27,21-04-2023,Electronics,0,1.005279476
112,68,Male,98916,54.72648709,31,22-04-2023,Clothing,0,2.231774831
113,34,Female,55699,257.033193,32,23-04-2023,Home,0,2.114513332
114,25,Other,66335,17.2116275,44,24-04-2023,Clothing,1,2.573792613
115,52,Male,66806,206.4147235,39,25-04-2023,Toys,1,1.527407959
116,52,Female,97853,114.246042,9,26-04-2023,Clothing,1,3.030735299
117,50,Other,83768,268.9876394,41,27-04-2023,Clothing,1,3.76976141
118,22,Female,55739,498.0168563,8,28-04-2023,Clothing,1,3.520742276
119,59,Female,54785,401.265372,14,29-04-2023,Electronics,1,4.21501979
120,56,Female,51980,423.5928354,33,30-04-2023,Books,1,2.808033152
121,58,Female,109335,319.4561687,23,01-05-2023,Clothing,1,3.076366921
122,45,Other,114702,25.57212489,21,02-05-2023,Clothing,1,4.241607763
123,24,Other,105016,107.3648496,,03-05-2023,Toys,0,2.710804683
124,26,Other,21609,462.9069554,2,04-05-2023,Toys,0,3.8063974
125,25,Male,86253,186.2259934,13,05-05-2023,Home,1,2.738409475
126,29,Other,105481,56.30017961,4,06-05-2023,Home,0,2.670944778
127,51,Female,111128,352.6906561,20,07-05-2023,Toys,1,4.040822498
128,50,Other,48141,153.2315733,48,08-05-2023,Books,0,1.699347662
129,65,Female,50009,138.0841719,14,09-05-2023,Home,,2.354343888
130,40,Male,26782,498.9988405,30,10-05-2023,Books,0,1.896689107
131,41,Female,112072,429.7787679,29,11-05-2023,Toys,1,2.436439772
132,54,Female,119352,206.9292201,8,12-05-2023,Home,1,1.921499289
133,52,Female,45933,490.2292979,12,13-05-2023,Clothing,1,3.317622524
134,61,Male,97154,326.8060456,41,14-05-2023,Toys,1,4.19268321
135,57,Other,28307,372.3011137,38,15-05-2023,Home,0,4.146452245
136,39,Other,112207,20.59895633,26,16-05-2023,Books,1,2.458003858
137,44,Male,95874,65.19460338,2,17-05-2023,Books,0,4.955041624
138,52,Female,58346,318.3771376,40,18-05-2023,Home,1,3.375417459
139,18,Other,70772,450.0168714,14,19-05-2023,Books,0,2.597601207
140,52,Male,92084,313.7531444,6,20-05-2023,Home,0,4.342157117
141,54,Other,60149,71.34232269,42,21-05-2023,Home,0,3.919496051
142,64,Male,106700,62.30122289,40,22-05-2023,Books,0,3.997101347
143,31,Female,47526,422.8720184,31,23-05-2023,Electronics,1,1.784557399
144,20,Other,116758,73.95465766,17,24-05-2023,Clothing,1,2.873297229
145,18,Male,105712,262.5148204,25,25-05-2023,Toys,0,4.447312523
146,22,,88477,23.37109338,32,26-05-2023,Clothing,1,3.016152031
147,43,Other,25695,44.93153486,12,27-05-2023,Toys,1,3.733810974
148,31,Other,59169,337.8123925,49,28-05-2023,Toys,0,3.351734932
149,56,Other,67947,346.1447982,13,29-05-2023,Clothing,1,4.369427151
150,44,Male,67224,174.0273563,19,30-05-2023,Home,1,2.138243359
151,26,Female,65865,111.7268338,44,31-05-2023,Books,1,3.301901112
152,32,Male,45553,407.786584,48,01-06-2023,Electronics,0,1.492938672
153,32,Male,80410,112.4660986,25,02-06-2023,Electronics,1,3.760843107
154,43,Male,110895,273.3033995,31,03-06-2023,Electronics,0,3.927871353
155,59,Female,44816,484.2633762,37,04-06-2023,Clothing,0,1.171349285
156,30,Other,75026,78.18695674,25,05-06-2023,Clothing,0,3.703163855
157,,Other,70705,470.7337524,16,06-06-2023,Home,1,2.658760617
158,49,Other,81922,95.53206127,38,07-06-2023,Electronics,1,1.496387504
159,56,Female,93914,285.884388,43,08-06-2023,Home,1,2.679630191
160,66,Other,21881,191.6188174,49,09-06-2023,Electronics,0,1.776931719
161,69,Female,59567,482.6396577,23,10-06-2023,,1,2.662238128
162,49,Other,67365,140.4033044,14,11-06-2023,Books,0,2.537356112
163,21,Other,99211,202.830711,6,12-06-2023,Books,1,3.953566548
164,47,Male,90122,491.5157583,25,13-06-2023,Books,0,4.096862233
165,54,Female,45006,270.5528436,23,14-06-2023,Books,,3.428114618
166,40,Male,61198,253.8019072,43,15-06-2023,Toys,1,1.090747369
167,56,Male,42831,132.6003517,12,16-06-2023,Electronics,1,4.724089116
168,62,Male,36459,352.1749624,13,17-06-2023,Books,0,3.74493312
169,,Female,52443,12.11461113,36,18-06-2023,Toys,0,1.1367818
170,60,Female,62316,29.5087517,39,19-06-2023,Toys,1,4.275331597
171,46,Other,116131,301.6825006,34,20-06-2023,Toys,0,1.801064619
172,53,Male,84486,174.128914,6,21-06-2023,Home,0,3.316884758
173,30,Other,25877,476.8916042,38,,Home,0,2.86653748
174,49,Male,59553,452.0793919,40,23-06-2023,Toys,1,2.679355129
,24,Female,24922,358.284598,8,24-06-2023,Books,1,4.55885488
176,68,Female,24686,409.9820627,8,25-06-2023,Electronics,1,2.749445166
177,39,Female,52766,335.3292656,40,26-06-2023,Clothing,0,1.30137647
178,45,Male,99943,67.16314084,33,27-06-2023,Home,1,4.786554909
179,19,Female,52006,,34,28-06-2023,Books,0,4.682140925
180,59,Male,51422,109.0450245,44,29-06-2023,Books,0,3.737730758
181,62,Other,32205,165.1042133,15,30-06-2023,Clothing,1,2.871570113
182,23,Male,106590,410.520935,36,01-07-2023,,1,1.371437892
183,45,Other,43527,270.5801762,35,02-07-2023,Books,1,4.162992474
184,45,Male,38443,430.6706535,46,03-07-2023,Clothing,0,1.301911658
185,61,Other,36524,110.4524833,22,04-07-2023,Books,0,1.27440394
186,61,Female,48202,305.8503271,23,05-07-2023,Clothing,1,3.14953537
187,37,Other,85552,46.47653141,40,06-07-2023,Clothing,0,1.640512961
188,47,Female,66142,323.3151918,45,07-07-2023,Books,1,1.030921069
189,28,Female,81692,382.4543487,22,08-07-2023,Toys,1,2.692453724
190,45,Other,102384,294.5407925,5,09-07-2023,Books,1,1.548868926
191,42,Male,40855,136.7845932,31,10-07-2023,Electronics,1,1.642061661
192,56,Male,103747,20.51462109,13,11-07-2023,Clothing,1,1.307642555
193,50,Male,80372,64.12719756,28,12-07-2023,Home,1,1.820375015
194,18,Male,45095,313.0399746,20,13-07-2023,Clothing,0,3.861936719
195,44,Male,58724,467.5380073,33,14-07-2023,Electronics,0,
196,69,Female,,107.23453,16,15-07-2023,Home,1,2.810134576
197,30,Male,72003,368.8379438,29,16-07-2023,Home,1,3.026215264
198,58,Female,88379,433.8932763,23,17-07-2023,Books,0,1.130620138
,20,Female,114837,262.8366783,24,18-07-2023,Toys,0,1.277265045
200,56,Female,111996,336.2865689,34,19-07-2023,Books,1,2.030270903
201,23,Other,117454,408.4325818,7,20-07-2023,Home,1,3.175593683
202,25,Other,114283,134.0342031,38,21-07-2023,Home,0,
203,44,Female,35972,151.9633588,37,22-07-2023,Toys,1,3.420012245
204,26,Other,113846,5.310620731,4,23-07-2023,Clothing,,2.56851142
,54,Male,42927,481.7315948,34,24-07-2023,Toys,1,1.473296292
206,50,Male,86630,459.1847228,42,25-07-2023,Books,0,4.12309294
207,68,Female,72347,383.4612906,22,26-07-2023,Clothing,1,2.455144206
208,59,Male,119708,44.14263038,5,27-07-2023,Books,1,3.944216058
209,61,Female,108860,226.5139304,42,28-07-2023,Toys,1,3.051915368
210,41,Female,106210,55.43641822,23,29-07-2023,Clothing,0,3.954648214
211,32,Male,89518,12.8805323,15,30-07-2023,Toys,1,4.629158246
212,49,Other,65283,310.0105678,31,31-07-2023,Electronics,0,4.684118064
213,49,Male,101326,480.6105615,9,01-08-2023,Home,0,3.14042712
214,41,Male,32205,451.9196716,43,02-08-2023,Clothing,0,3.046033459
215,58,Female,109874,349.8936334,25,03-08-2023,Home,0,2.062713862
216,69,Female,32748,52.83708916,25,04-08-2023,Electronics,1,4.743199326
217,66,Female,41097,140.7111986,49,05-08-2023,Clothing,1,2.831676669
218,66,Female,23092,163.4280798,21,06-08-2023,Home,1,1.510364957
219,69,Other,73311,382.7592786,9,07-08-2023,Home,0,2.730819659
220,29,Other,42692,402.1133437,48,08-08-2023,Clothing,1,1.508213001
221,56,Other,43862,195.6275309,38,09-08-2023,Home,0,3.010126737
222,19,Female,110396,,22,10-08-2023,Home,0,3.245102059
223,20,Female,99507,27.03197444,43,11-08-2023,Clothing,0,2.351023046
224,66,Female,100152,148.1226756,23,12-08-2023,Home,1,1.286602457
225,54,Other,90469,228.3861627,49,13-08-2023,Home,0,4.774014143
226,66,Female,24926,62.90660796,4,14-08-2023,Books,1,4.093412454
227,34,Male,111299,229.3673931,29,15-08-2023,Books,1,4.355524322
228,66,Male,23969,427.3220271,15,16-08-2023,Electronics,1,2.467473577
229,19,Female,55733,292.7539048,1,17-08-2023,Books,0,
230,19,Male,89855,44.07027824,30,18-08-2023,Books,1,2.941491581
231,45,Male,61743,99.87730282,29,19-08-2023,Electronics,0,1.804333954
232,40,Other,59876,239.8994533,20,20-08-2023,,0,1.497693508
233,54,Female,40323,183.9361392,33,21-08-2023,Home,0,2.380203477
234,49,Female,36428,182.5698747,41,22-08-2023,Books,0,1.550208446
235,50,Other,54578,266.9873868,44,23-08-2023,Electronics,1,4.993075905
236,18,Male,106486,294.2759812,36,24-08-2023,Home,1,1.196755961
237,36,Male,84140,399.4464773,22,25-08-2023,Toys,1,2.764574397
238,19,Female,103829,173.7784489,13,26-08-2023,Clothing,1,2.80837409
239,61,Male,26364,403.7058101,7,27-08-2023,Clothing,0,2.202527714
240,43,Other,55349,172.6125584,8,28-08-2023,Clothing,0,3.285406263
241,49,Other,20691,32.43932953,28,29-08-2023,Books,0,1.599908097
242,23,Female,115598,279.3228872,45,30-08-2023,Clothing,0,4.135649522
243,49,Other,86467,296.0116508,43,31-08-2023,Clothing,1,2.329790873
244,21,Other,65896,467.5974216,9,01-09-2023,Toys,1,3.365370359
245,28,Female,77062,364.4003564,25,02-09-2023,Home,0,3.862556944
246,34,Other,117266,459.297463,16,03-09-2023,Toys,0,4.556168471
247,55,Other,99762,454.6318691,10,04-09-2023,Books,0,4.343149746
248,41,Other,33861,304.2641846,11,05-09-2023,Clothing,0,3.433236112
249,22,Male,116837,266.2422223,31,06-09-2023,Home,1,2.553572722
250,69,Female,108302,280.9332787,12,07-09-2023,Clothing,0,3.01281868
251,51,Female,83928,489.2737498,31,08-09-2023,Clothing,1,4.074939174
252,23,Female,103231,387.7180074,14,09-09-2023,Books,1,4.51018217
253,39,Male,61347,57.60162287,44,10-09-2023,Clothing,0,1.415127713
,28,Male,23121,390.3220614,32,11-09-2023,Electronics,0,2.53942505
255,65,Female,103793,89.4163342,17,12-09-2023,Home,1,4.104466394
256,33,Male,,226.4385218,35,13-09-2023,Home,1,2.72660705
257,50,Female,45491,109.1775377,1,14-09-2023,Electronics,0,2.328911056
258,26,Male,79222,346.3436174,29,15-09-2023,Books,1,2.645290787
259,23,Other,43165,439.2683194,4,16-09-2023,Clothing,0,3.411378987
260,33,Other,23748,148.7291333,23,17-09-2023,Clothing,0,4.999220577
261,46,Female,118581,,28,18-09-2023,Home,1,2.971969716
262,20,Male,46553,152.7540835,16,19-09-2023,Books,1,1.8339779
263,37,Male,80380,337.8191197,12,20-09-2023,Books,0,1.651386301
264,53,Other,64331,167.7362631,21,,Books,0,1.16939899
265,36,Other,116033,142.6655229,45,22-09-2023,Clothing,1,3.23526894
266,43,Male,116844,96.29541934,17,23-09-2023,Books,1,3.178288366
267,20,Male,59560,251.2706313,40,24-09-2023,Electronics,,1.820935707
268,36,Male,73865,141.5946699,13,25-09-2023,Toys,1,3.781317626
269,37,Male,66686,366.8501228,32,26-09-2023,Books,0,3.964428167
270,49,Male,95910,42.92808899,37,,Toys,0,2.036392822
271,24,Male,24675,333.6963514,15,28-09-2023,Clothing,0,2.376399056
272,69,Female,86706,122.5922072,12,29-09-2023,Books,1,4.961886689
273,58,Male,97986,247.1932342,49,30-09-2023,Home,1,2.497057871
274,50,Other,96216,146.6145114,15,01-10-2023,Clothing,0,4.043206687
275,57,Female,30068,362.7704946,34,02-10-2023,Electronics,1,2.810901707
276,56,Male,74460,472.9269849,6,03-10-2023,Electronics,1,4.173379311
277,35,Other,66418,458.9530058,17,04-10-2023,Toys,1,4.076092955
278,57,Female,46206,293.7959765,48,05-10-2023,Toys,1,3.671024101
279,18,Other,20287,233.9921001,49,06-10-2023,Home,1,4.419113385
280,28,Male,42337,410.0587522,20,07-10-2023,,1,4.75687398
281,45,Male,40666,343.2465495,9,,Electronics,0,3.319933282
282,42,Male,21161,95.86423654,5,09-10-2023,Books,0,1.949875629
283,67,Male,110071,411.3550107,23,10-10-2023,Electronics,0,2.594515847
284,40,Female,118064,217.2977728,33,11-10-2023,Electronics,0,4.033222854
285,48,Female,58751,98.54790169,38,12-10-2023,Home,1,3.60353394
286,47,Other,102063,144.4896884,14,13-10-2023,Toys,0,1.711193354
287,59,Male,109389,137.42588,17,14-10-2023,Home,0,1.204958165
288,52,Other,34758,262.0074524,19,15-10-2023,Home,0,3.731846374
289,24,Female,85780,121.0131949,33,16-10-2023,Home,0,2.004316096
290,33,Male,23178,66.16541126,1,17-10-2023,Electronics,1,2.998680975
291,43,Male,51831,66.22697105,13,18-10-2023,,1,3.98698709
292,65,Female,22176,293.7217176,46,19-10-2023,Electronics,0,3.250667123
293,69,Female,53654,368.705848,27,20-10-2023,Clothing,0,1.333210332
294,66,Female,46627,164.1588394,6,21-10-2023,Home,1,1.742320947
295,19,Female,72550,22.15210136,6,22-10-2023,Home,1,1.877312736
296,18,Female,64910,67.97631903,33,23-10-2023,Clothing,0,2.031457015
297,65,Male,110417,457.7738074,30,24-10-2023,Home,1,
298,29,Female,78251,249.3041115,46,25-10-2023,Home,1,3.015863119
299,22,Male,55422,229.5185408,35,26-10-2023,Home,0,1.812640153
300,54,Male,31984,23.83434326,23,27-10-2023,Clothing,1,1.270219374
301,49,Female,109312,365.675326,10,28-10-2023,Electronics,0,1.685728818
302,26,Female,81386,266.3937001,19,29-10-2023,Home,0,4.93752525
303,58,Male,103291,105.0300634,28,30-10-2023,Books,1,2.874187799
304,52,Female,27135,59.48651129,23,31-10-2023,Clothing,1,4.469382019
305,36,Female,20320,194.7769925,4,01-11-2023,Toys,1,4.395009867
306,65,Female,114171,419.3951723,20,02-11-2023,Clothing,1,3.04607823
307,33,Other,41684,433.3208068,19,03-11-2023,Electronics,1,3.826750834
308,20,Male,75913,303.4089583,42,04-11-2023,Clothing,1,1.771008042
309,37,Other,108774,365.1305315,27,05-11-2023,Toys,0,3.75358682
310,41,Female,41889,62.00211476,34,06-11-2023,Books,1,2.089538317
311,50,Other,115849,296.1224024,4,07-11-2023,Toys,0,4.328248387
312,41,Female,118071,335.1480232,38,08-11-2023,Clothing,1,1.334896532
313,69,Other,68899,104.3528572,7,09-11-2023,Toys,1,4.092554692
314,28,Female,30770,440.6765928,48,10-11-2023,Clothing,1,1.399747626
315,66,Other,59321,101.5233851,7,11-11-2023,Books,1,4.524756948
316,25,Other,105962,160.1712931,26,12-11-2023,Books,1,2.216818073
317,53,Other,61777,312.1756393,26,13-11-2023,Electronics,0,3.617573459
318,55,Male,66250,320.9832822,19,14-11-2023,Books,0,2.950009114
319,57,Other,93034,351.1954468,9,15-11-2023,Home,0,2.465212581
320,37,Male,60130,60.44579797,20,16-11-2023,Toys,1,3.581767333
321,52,Female,101931,425.4848928,42,17-11-2023,Toys,1,4.790091922
322,65,Other,69346,268.7593305,45,18-11-2023,Clothing,1,1.165078989
323,42,Female,22537,238.3042881,16,19-11-2023,Books,0,4.675411424
324,52,Female,104762,490.6433241,17,20-11-2023,Electronics,0,3.43632662
325,42,Other,35216,371.487257,22,21-11-2023,Electronics,1,4.229257203
326,46,Male,104149,63.41298318,13,22-11-2023,Electronics,0,2.535499814
327,35,Other,23009,379.4868878,12,23-11-2023,Home,1,2.887371899
328,63,Female,109904,52.14822232,10,24-11-2023,Books,1,4.475403007
329,35,,49327,18.59792844,1,25-11-2023,Electronics,0,2.659391879
330,19,Other,34209,204.7948182,32,26-11-2023,Home,0,3.138638267
331,52,Male,68443,496.8211955,30,27-11-2023,Toys,0,1.080779692
332,33,Male,35029,91.56754842,8,28-11-2023,Clothing,0,1.634392023
333,58,Female,87613,337.95895,21,29-11-2023,Books,1,3.566746032
334,53,Female,99443,90.83105277,22,30-11-2023,Books,1,3.867907604
335,50,Male,76997,363.7695526,,01-12-2023,Toys,0,3.330403747
336,21,Other,82559,255.1500658,2,,Books,0,1.573240145
337,50,Female,84892,341.5859965,48,03-12-2023,Books,0,2.781621714
338,31,Male,90409,105.4222221,44,04-12-2023,Books,0,2.420379065
339,,Female,28635,374.0860246,9,05-12-2023,Books,1,2.982645376
340,65,Other,53065,497.8314345,3,06-12-2023,Home,1,4.481316138
341,37,Male,53783,334.4969978,26,07-12-2023,Home,1,4.103445755
342,25,Female,54152,249.272599,21,08-12-2023,Clothing,1,1.335958006
343,24,Other,78741,461.9711244,30,09-12-2023,Books,1,4.561236791
344,20,Female,71502,12.8466619,28,10-12-2023,Toys,1,2.887068605
345,34,Other,49092,366.312142,36,11-12-2023,Electronics,1,3.97544858
346,50,Other,37653,444.9295258,26,12-12-2023,Clothing,0,1.560156925
347,65,Male,117999,35.52891889,34,13-12-2023,,1,3.682878103
348,29,Other,119564,227.7817644,8,14-12-2023,Electronics,0,1.94530407
349,68,Female,60469,106.3361297,10,15-12-2023,,0,2.753523589
350,39,Other,106483,285.426492,48,16-12-2023,Toys,0,1.06745148
351,39,Other,79754,326.5237645,43,17-12-2023,Electronics,1,1.606442552
352,63,Male,49978,154.7984755,14,18-12-2023,Electronics,1,1.368321972
353,47,Other,,232.6909265,40,19-12-2023,Clothing,1,1.958976692
354,55,Other,114543,143.2730452,15,20-12-2023,Toys,1,1.40007236
355,55,Female,63169,187.8486264,17,21-12-2023,Toys,0,3.767640106
356,62,Male,68287,83.97227856,18,22-12-2023,Electronics,1,1.116159609
357,68,Male,74745,443.3519246,32,23-12-2023,Toys,0,3.470962002
358,25,Male,25543,9.955153227,38,24-12-2023,Clothing,1,1.562831323
359,,Other,76392,441.7925473,23,25-12-2023,Clothing,1,4.780645829
360,44,Male,41067,287.9810448,46,26-12-2023,Clothing,0,4.732376292
361,51,Other,71033,169.1706329,23,27-12-2023,Books,0,1.90201241
362,38,Other,65256,362.9132771,35,28-12-2023,Electronics,0,3.457685193
363,47,Female,110633,256.3373152,39,29-12-2023,Toys,1,1.112021278
364,50,Female,89345,252.0587858,,30-12-2023,Clothing,1,4.727154172
365,45,Female,42191,59.52043004,24,31-12-2023,Electronics,0,3.091949233
366,64,Female,106803,197.8104328,28,01-01-2024,Electronics,1,1.172892606
367,50,Female,92742,124.3268512,16,02-01-2024,Books,0,2.369999972
,22,Other,106593,12.76947327,16,03-01-2024,Toys,1,1.307397847
369,65,Other,48992,183.2493172,40,04-01-2024,Toys,0,2.571777757
370,36,Male,101531,49.46195407,39,05-01-2024,Clothing,0,3.679705369
371,21,Other,68803,132.1308687,6,06-01-2024,Clothing,1,2.879559632
372,52,Other,83477,50.79572749,2,07-01-2024,Electronics,0,2.534888699
373,66,Female,33210,54.96610465,13,08-01-2024,Toys,1,1.476628182
374,34,Other,103329,103.5105907,44,09-01-2024,Toys,1,1.979756183
375,61,Female,46270,499.925376,47,10-01-2024,Clothing,0,1.400573151
376,45,Male,82008,6.081150714,9,11-01-2024,Home,0,4.229994927
377,47,Male,25197,321.1429549,34,12-01-2024,Electronics,1,1.540959312
378,46,Other,27452,74.91563052,17,13-01-2024,Toys,1,3.381493466
379,63,Male,61486,460.7109277,27,14-01-2024,Books,0,2.370961654
